,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.728,0.91402924,0.0050865803,0.003361552,0.99,1.0,0.0,0.0,1.0,0.98840684,3525.0,0.0050865803,0.92,0.94279635,3525.0,0.0050865803,0.93,0.9403848,3525.0,0.0050865803,0.94,0.95896626,3525.0,0.0050865803,0.85,0.90399086,3525.0,0.0050865803,0.84,0.89181507,3525.0,0.0050865803,0.8,0.878788,3525.0,0.0050865803,0.01,0.7218581,3525.0,0.0050865803,0.0,0.7365943,3525.0,0.0050865803
1,0.80864257,0.834,0.0,0.741,0.9640958,0.0050865803,0.0044981563,1.0,1.0,0.0,0.0,0.99,0.98715013,3525.0,0.0050865803,0.86,0.9409665,3525.0,0.0050865803,0.95,0.9384848,3525.0,0.0050865803,0.95,0.95541877,3525.0,0.0050865803,0.78,0.9036409,3525.0,0.0050865803,0.86,0.8916223,3525.0,0.0050865803,0.81,0.8779413,3525.0,0.0050865803,0.21,0.7220283,3525.0,0.0050865803,0.0,0.7328225,3525.0,0.0050865803
2,0.80864257,0.834,0.61442363,0.745,0.96999115,0.0050865803,0.0047894823,1.0,1.0,0.0,0.0,0.99,0.9840169,3525.0,0.0050865803,0.9,0.93596387,3525.0,0.0050865803,0.96,0.93723375,3525.0,0.0050865803,0.95,0.9550104,3525.0,0.0050865803,0.66,0.902524,3525.0,0.0050865803,0.83,0.8924743,3525.0,0.0050865803,0.87,0.87808645,3525.0,0.0050865803,0.18,0.7220283,3525.0,0.0050865803,0.11,0.73450786,3525.0,0.0050865803
3,0.80864257,0.834,0.73319477,0.792,0.97876775,0.0050865803,0.0049671317,1.0,1.0,0.0,0.0,1.0,0.9809109,3525.0,0.0050865803,0.93,0.9328559,3525.0,0.0050865803,0.93,0.936239,3525.0,0.0050865803,0.94,0.9542647,3525.0,0.0050865803,0.83,0.90193087,3525.0,0.0050865803,0.79,0.89109826,3525.0,0.0050865803,0.88,0.8760489,3525.0,0.0050865803,0.29,0.7220283,3525.0,0.0050865803,0.33,0.73460805,3525.0,0.0050865803
