,elbo,pre_g_mean,pre_acsa
339,-4631.835,0.6266542,0.73
344,-4644.13,0.6266542,0.73
349,-4637.3867,0.6266542,0.73
354,-4649.7793,0.6266542,0.73
359,-4648.4663,0.6266542,0.73
364,-4639.2534,0.6266542,0.73
369,-4641.0586,0.6266542,0.73
374,-4634.913,0.6266542,0.73
299,-4630.926,0.6266542,0.73
304,-4640.703,0.6266542,0.73
309,-4636.9287,0.6266542,0.73
314,-4649.8145,0.6266542,0.73
319,-4629.321,0.6266542,0.73
324,-4627.165,0.6266542,0.73
305,-4627.638,0.6266542,0.73
310,-4637.9785,0.6266542,0.73
315,-4640.083,0.6266542,0.73
320,-4639.548,0.6266542,0.73
325,-4625.6377,0.6266542,0.73
330,-4634.2554,0.6266542,0.73
335,-4639.4297,0.6266542,0.73
340,-4629.154,0.6266542,0.73
345,-4636.8755,0.6266542,0.73
350,-4632.5215,0.6266542,0.73
355,-4632.588,0.6266542,0.73
360,-4647.033,0.6266542,0.73
365,-4638.001,0.6266542,0.73
370,-4644.9263,0.6266542,0.73
375,-4627.21,0.6266542,0.73
380,-4633.328,0.6266542,0.73
385,-4646.077,0.6266542,0.73
390,-4644.134,0.6266542,0.73
395,-4649.825,0.6266542,0.73
400,-4642.038,0.6266542,0.73
