,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
87,-88.79607,0.82652164,0.8392173,0.63297284,0.6563913
88,-89.02472,0.86133534,0.86945665,0.5919491,0.5976526
89,-88.74836,0.8599697,0.86902803,0.5690347,0.59086394
90,-89.117134,0.85715044,0.8665756,0.5768845,0.59215677
91,-88.034996,0.85500103,0.8634972,0.5676314,0.6058093
92,-89.00458,0.85750896,0.867352,0.69520503,0.71755904
93,-88.44104,0.8590672,0.8697814,0.5045362,0.5231079
94,-88.84662,0.85758394,0.8692291,0.49068823,0.536134
95,-88.375015,0.8558133,0.865782,0.54355323,0.5699177
96,-88.99124,0.85370547,0.86503935,0.54340565,0.5529856
97,-88.97264,0.8589961,0.8672543,0.6506371,0.67817193
98,-88.879166,0.8525495,0.86296225,0.5736601,0.59669894
99,-87.94968,0.8582339,0.8671222,0.62697494,0.6486738
100,-88.868996,0.85450137,0.8639773,0.61836296,0.6378769
101,-88.666626,0.85446876,0.86506,0.54624844,0.56740546
102,-88.273506,0.85792905,0.86835104,0.5705707,0.57990247
103,-88.23317,0.85826445,0.86876535,0.5941313,0.6170828
104,-88.37758,0.8614016,0.87104666,0.6449913,0.66266435
105,-88.34212,0.84977543,0.8590003,0.62788886,0.62849915
106,-89.40477,0.86388165,0.87322325,0.63600975,0.6668899
107,-88.47672,0.84890085,0.8585664,0.6691431,0.6882925
108,-87.90267,0.8555112,0.8647527,0.6015562,0.63004947
109,-88.743416,0.8556983,0.8647682,0.5871562,0.6162656
110,-88.26681,0.7438723,0.742871,0.5111818,0.5334883
111,-87.86155,0.85217685,0.8635482,0.6469413,0.6667236
112,-88.41428,0.8526736,0.8632399,0.6201526,0.65166056
113,-88.02309,0.85597175,0.864951,0.6573909,0.66556954
114,-88.0134,0.8559483,0.86541116,0.6284609,0.63499415
115,-87.46279,0.8544252,0.8619458,0.6284502,0.6335629
116,-87.3921,0.8534704,0.8631087,0.56478626,0.58072317
117,-88.55242,0.86051947,0.87057,0.60988295,0.6212751
118,-87.88234,0.8633927,0.87310654,0.6647523,0.6887939
119,-88.07112,0.85503656,0.86469746,0.58043563,0.587838
120,-88.29082,0.8578862,0.86720544,0.52608144,0.5494126
121,-87.433586,0.86020344,0.87079245,0.59052837,0.6139822
122,-87.79847,0.85821027,0.8677213,0.6730524,0.6802346
123,-87.53246,0.85090166,0.8608089,0.61777186,0.63751686
124,-87.8033,0.8539373,0.8624395,0.597772,0.61127317
125,-87.97428,0.85687053,0.86607003,0.61057204,0.63802683
126,-88.42925,0.8558086,0.86579317,0.61515975,0.6366101
127,-87.38451,0.8545814,0.8631159,0.6209081,0.618252
128,-87.33673,0.85820353,0.86818707,0.62728024,0.6439387
129,-87.88844,0.8589847,0.86863595,0.6390876,0.6564711
130,-87.663506,0.85849935,0.8682165,0.7839383,0.79530233
131,-87.4113,0.86072254,0.870347,0.7770328,0.7898183
132,-87.95656,0.8544401,0.86358935,0.77897644,0.7901749
133,-87.66924,0.86441773,0.8744146,0.79066044,0.8014839
134,-86.86062,0.8594917,0.86987704,0.7835348,0.79568064
135,-87.36965,0.8592724,0.8699177,0.7886581,0.7996278
136,-87.24896,0.8586601,0.8677052,0.7859643,0.7964159
137,-87.65151,0.8552008,0.8651986,0.7784775,0.79131895
138,-87.605095,0.8629537,0.8718678,0.7911277,0.80138326
139,-87.2896,0.8581937,0.8679673,0.7899573,0.80169135
140,-86.987785,0.85310644,0.8623105,0.77484256,0.78634655
141,-87.460785,0.8355529,0.8479415,0.77967644,0.7933886
