,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.706,0.91888297,0.08177971,0.03207105,0.99,0.0,0.0,0.99,229170.0,0.27827325,0.79,242099.0,0.2939725,0.83,33326.0,0.040466618,0.9,30692.0,0.037268244,0.92,50010.0,0.06072543,0.79,3848.0,0.0046724943,0.85,9858.0,0.011970231,0.0,5762.0,0.006996599,0.0,1377.0,0.0016720438
2,0.80864257,0.834,0.0,0.713,0.9546764,0.081947416,0.04405612,1.0,0.0,0.0,1.0,229813.0,0.27905405,0.85,242450.0,0.29439873,0.92,33459.0,0.040628117,0.95,30780.0,0.037375096,0.64,50023.0,0.060741212,0.85,3858.0,0.004684637,0.84,9865.0,0.011978731,0.0,5751.0,0.006983242,0.08,1386.0,0.0016829722
4,0.80864257,0.834,0.0,0.725,0.9602172,0.08201825,0.046833012,1.0,0.0,0.0,0.99,230042.0,0.2793321,0.94,242679.0,0.29467678,0.97,33479.0,0.0406524,0.96,30789.0,0.037386026,0.72,50037.0,0.06075821,0.8,3858.0,0.004684637,0.85,9870.0,0.011984802,0.0,5767.0,0.0070026703,0.02,1389.0,0.001686615
6,0.80864257,0.834,0.0,0.739,0.96487147,0.08208517,0.05007645,1.0,0.0,0.0,0.99,230451.0,0.27982873,0.96,242737.0,0.2947472,0.92,33508.0,0.040687613,0.96,30791.0,0.037388455,0.74,50035.0,0.06075578,0.69,3859.0,0.0046858513,0.78,9870.0,0.011984802,0.0,5766.0,0.007001456,0.35,1389.0,0.001686615
8,0.80864257,0.834,0.74855834,0.799,0.9683067,0.08215061,0.053954005,1.0,0.0,0.0,0.99,230796.0,0.28024766,0.92,242847.0,0.29488078,0.87,33509.0,0.040688828,0.98,30801.0,0.037400596,0.85,50062.0,0.060788568,0.84,3855.0,0.004680994,0.82,9872.0,0.011987231,0.27,5760.0,0.00699417,0.45,1389.0,0.001686615
10,0.80864257,0.834,0.80016077,0.825,0.96875,0.0822298,0.053274423,1.0,0.0,0.0,0.99,231117.0,0.28063744,0.93,243071.0,0.29515278,0.93,33553.0,0.040742256,0.89,30774.0,0.037367813,0.75,50074.0,0.06080314,0.87,3851.0,0.004676137,0.78,9871.0,0.011986016,0.38,5778.0,0.007016027,0.73,1389.0,0.001686615
12,0.80864257,0.834,0.69410443,0.771,0.9732934,0.08230441,0.0538485,0.99,0.0,0.0,0.99,231436.0,0.28102478,0.93,243138.0,0.2952341,0.96,33682.0,0.040898897,0.94,30774.0,0.037367813,0.71,50111.0,0.06084807,0.85,3851.0,0.004676137,0.83,9877.0,0.011993302,0.3,5773.0,0.0070099556,0.21,1389.0,0.001686615
14,0.80864257,0.834,0.76207525,0.797,0.9740692,0.08238712,0.05066591,1.0,0.0,0.0,0.99,231745.0,0.2814,0.87,243210.0,0.29532155,0.93,33812.0,0.041056752,0.91,30758.0,0.037348382,0.8,50231.0,0.06099378,0.77,3853.0,0.0046785655,0.88,9880.0,0.011996945,0.44,5766.0,0.007001456,0.38,1389.0,0.001686615
16,0.80864257,0.834,0.7108051,0.776,0.9735151,0.08243393,0.05308837,1.0,0.0,0.0,0.99,231990.0,0.28169748,0.9,243192.0,0.2952997,0.88,33885.0,0.04114539,0.92,30759.0,0.037349597,0.78,50276.0,0.061048422,0.81,3854.0,0.00467978,0.86,9880.0,0.011996945,0.42,5766.0,0.007001456,0.2,1389.0,0.001686615
18,0.80864257,0.834,0.6126922,0.754,0.9742908,0.08250099,0.05384823,1.0,0.0,0.0,0.97,232340.0,0.2821225,0.87,243255.0,0.2953762,0.97,33962.0,0.041238893,0.97,30759.0,0.037349597,0.47,50282.0,0.06105571,0.82,3855.0,0.004680994,0.84,9879.0,0.011995731,0.58,5766.0,0.007001456,0.05,1390.0,0.0016878293
20,0.80864257,0.834,0.72080785,0.786,0.9750665,0.08253796,0.056294166,1.0,0.0,0.0,0.98,232599.0,0.282437,0.93,243205.0,0.29531547,0.89,34003.0,0.041288678,0.94,30758.0,0.037348382,0.81,50291.0,0.061066635,0.8,3858.0,0.004684637,0.89,9880.0,0.011996945,0.41,5777.0,0.007014813,0.21,1391.0,0.0016890436
22,0.80864257,0.834,0.84221727,0.853,0.9746232,0.082602315,0.058060788,1.0,0.0,0.0,0.99,232874.0,0.2827709,0.9,243243.0,0.29536164,0.95,34106.0,0.041413747,0.94,30807.0,0.037407883,0.76,50297.0,0.06107392,0.87,3859.0,0.0046858513,0.86,9880.0,0.011996945,0.63,5782.0,0.007020884,0.63,1391.0,0.0016890436
24,0.80864257,0.834,0.80347973,0.821,0.97418,0.082661405,0.05980785,1.0,0.0,0.0,0.99,233251.0,0.2832287,0.87,243290.0,0.2954187,0.82,34123.0,0.04143439,0.93,30822.0,0.037426095,0.79,50277.0,0.061049636,0.92,3861.0,0.0046882797,0.81,9880.0,0.011996945,0.5,5782.0,0.007020884,0.58,1391.0,0.0016890436
26,0.80864257,0.834,0.81181467,0.832,0.9742908,0.08272293,0.062698744,1.0,0.0,0.0,0.99,233740.0,0.28382245,0.9,243247.0,0.2953665,0.92,34145.0,0.041461103,0.93,30802.0,0.03740181,0.73,50283.0,0.06105692,0.88,3861.0,0.0046882797,0.82,9882.0,0.011999373,0.43,5782.0,0.007020884,0.72,1391.0,0.0016890436
28,0.80864257,0.834,0.77946293,0.799,0.97196364,0.08279889,0.063163,0.97,0.0,0.0,0.98,234190.0,0.28436887,0.95,243267.0,0.29539075,0.85,34224.0,0.04155703,0.87,30808.0,0.037409097,0.77,50289.0,0.061064206,0.75,3861.0,0.0046882797,0.78,9884.0,0.012001802,0.43,5782.0,0.007020884,0.64,1391.0,0.0016890436
30,0.80864257,0.834,0.6853531,0.773,0.9735151,0.082843006,0.06484799,1.0,0.0,0.0,0.99,234477.0,0.28471738,0.94,243297.0,0.2954272,0.84,34179.0,0.041502386,0.92,30843.0,0.037451595,0.81,50308.0,0.061087277,0.89,3859.0,0.0046858513,0.84,9889.0,0.0120078735,0.15,5782.0,0.007020884,0.35,1389.0,0.001686615
32,0.80864257,0.834,0.78003633,0.806,0.9742908,0.08286851,0.06643855,1.0,0.0,0.0,0.99,234753.0,0.2850525,0.92,243250.0,0.29537013,0.86,34140.0,0.04145503,0.91,30833.0,0.037439454,0.78,50318.0,0.06109942,0.81,3859.0,0.0046858513,0.65,9891.0,0.012010301,0.37,5779.0,0.0070172413,0.77,1389.0,0.001686615
34,0.80864257,0.834,0.7556707,0.788,0.97052306,0.08289468,0.06640306,1.0,0.0,0.0,0.99,235029.0,0.28538764,0.95,243194.0,0.29530212,0.92,34112.0,0.04142103,0.91,30830.0,0.03743581,0.67,50325.0,0.06110792,0.78,3860.0,0.0046870657,0.7,9893.0,0.01201273,0.34,5773.0,0.0070099556,0.62,1390.0,0.0016878293
36,0.80864257,0.834,0.70897,0.764,0.97107714,0.08294905,0.06914191,1.0,0.0,0.0,0.98,235364.0,0.28579444,0.93,243241.0,0.2953592,0.79,34125.0,0.041436817,0.92,30870.0,0.03748438,0.71,50289.0,0.061064206,0.76,3861.0,0.0046882797,0.85,9895.0,0.012015159,0.48,5774.0,0.00701117,0.22,1390.0,0.0016878293
38,0.80864257,0.834,0.70180225,0.764,0.9739583,0.08301462,0.06796029,1.0,0.0,0.0,0.99,235712.0,0.286217,0.89,243327.0,0.29546362,0.88,34202.0,0.041530315,0.88,30853.0,0.03746374,0.8,50275.0,0.061047208,0.71,3861.0,0.0046882797,0.82,9901.0,0.012022444,0.19,5774.0,0.00701117,0.48,1390.0,0.0016878293
40,0.80864257,0.834,0.6528457,0.742,0.97118795,0.08307857,0.06693235,1.0,0.0,0.0,0.99,236108.0,0.28669783,0.81,243344.0,0.29548427,0.92,34203.0,0.04153153,0.93,30859.0,0.037471026,0.62,50328.0,0.061111562,0.9,3861.0,0.0046882797,0.79,9901.0,0.012022444,0.15,5774.0,0.00701117,0.31,1391.0,0.0016890436
42,0.80864257,0.834,0.700563,0.768,0.97129875,0.08313632,0.06693275,1.0,0.0,0.0,0.98,236559.0,0.28724548,0.92,243317.0,0.2954515,0.92,34194.0,0.0415206,0.93,30833.0,0.037439454,0.63,50359.0,0.061149206,0.89,3864.0,0.0046919226,0.77,9901.0,0.012022444,0.19,5779.0,0.0070172413,0.45,1391.0,0.0016890436
44,0.80864257,0.834,0.7401577,0.784,0.97041225,0.08321201,0.06622119,1.0,0.0,0.0,0.99,236939.0,0.28770688,0.93,243374.0,0.2955207,0.91,34315.0,0.04166753,0.83,30809.0,0.03741031,0.67,50377.0,0.061171062,0.9,3864.0,0.0046919226,0.73,9910.0,0.012033373,0.26,5779.0,0.0070172413,0.62,1391.0,0.0016890436
46,0.80864257,0.834,0.7033982,0.751,0.97185284,0.083265975,0.066395104,1.0,0.0,0.0,0.99,237242.0,0.28807482,0.9,243371.0,0.29551706,0.91,34411.0,0.041784097,0.91,30812.0,0.037413955,0.56,50380.0,0.061174706,0.85,3864.0,0.0046919226,0.67,9910.0,0.012033373,0.3,5778.0,0.007016027,0.42,1390.0,0.0016878293
