,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4
1,0.7262004,0.76,0.0,0.358,0.79176503,0.0005771812,0.0,0.0,1.0,0.0,0.0,0.71,1.0503497,72.0,0.001932886,0.1,1.1036034,4.0,0.00010738255,0.0,1.0676557,7.0,0.00018791946,0.98,1.1210849,3.0,8.053691e-05
1,0.7262004,0.76,0.0,0.446,0.80700105,0.0,0.0,0.93,1.0,0.0,0.0,0.96,1.0503497,0.0,0.0,0.34,1.1036034,0.0,0.0,0.0,1.0676557,0.0,0.0,0.0,1.1210849,0.0,0.0
2,0.7262004,0.76,0.0,0.458,0.8023069,0.0,0.0,0.81,1.0,0.0,0.0,0.99,1.0503497,0.0,0.0,0.49,1.1036034,0.0,0.0,0.0,1.0676557,0.0,0.0,0.0,1.1210849,0.0,0.0
3,0.7262004,0.76,0.0,0.45,0.80895925,0.0,0.0,0.98,1.0,0.0,0.0,0.69,1.0503497,0.0,0.0,0.58,1.1036034,0.0,0.0,0.0,1.0676557,0.0,0.0,0.0,1.1210849,0.0,0.0
