,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4
23,0.7262004,0.76,0.0,0.426,0.8114534,0.0,0.0,0.98,0.96,0.0,0.0,0.94,1.0391635,0.0,0.0,0.14,1.0427673,0.0,0.0,0.07,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
24,0.7262004,0.76,0.0,0.522,0.796506,0.0,0.0,0.94,0.96,0.0,0.0,0.71,1.0391635,0.0,0.0,0.39,1.0427673,0.0,0.0,0.57,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
25,0.7262004,0.76,0.0,0.47,0.8174646,0.0,0.0,0.98,0.96,0.0,0.0,0.87,1.0391635,0.0,0.0,0.5,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
26,0.7262004,0.76,0.0,0.444,0.8134661,0.0,0.0,0.99,0.96,0.0,0.0,0.9,1.0391635,0.0,0.0,0.33,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
27,0.7262004,0.76,0.0,0.448,0.8068914,0.0,0.0,0.99,0.96,0.0,0.0,0.93,1.0391635,0.0,0.0,0.32,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
28,0.7262004,0.76,0.0,0.374,0.79186344,0.0,0.0,0.06,0.96,0.0,0.0,0.94,1.0391635,0.0,0.0,0.87,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
29,0.7262004,0.76,0.0,0.45,0.78595966,0.0,0.0,0.99,0.96,0.0,0.0,0.9,1.0391635,0.0,0.0,0.36,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
30,0.7262004,0.76,0.0,0.368,0.76596713,0.0,0.0,0.99,0.96,0.0,0.0,0.77,1.0391635,0.0,0.0,0.08,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
31,0.7262004,0.76,0.0,0.394,0.7634714,0.0,0.0,0.98,0.96,0.0,0.0,0.89,1.0391635,0.0,0.0,0.1,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
32,0.7262004,0.76,0.0,0.408,0.74288857,0.0,0.0,0.98,0.96,0.0,0.0,0.67,1.0391635,0.0,0.0,0.39,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
33,0.7262004,0.76,0.0,0.446,0.7946812,0.0,0.0,0.99,0.96,0.0,0.0,0.93,1.0391635,0.0,0.0,0.31,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
34,0.7262004,0.76,0.0,0.414,0.7588826,0.0,0.0,0.85,0.96,0.0,0.0,1.0,1.0391635,0.0,0.0,0.22,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
35,0.7262004,0.76,0.0,0.47,0.7716831,0.0,0.0,0.96,0.96,0.0,0.0,0.97,1.0391635,0.0,0.0,0.42,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
36,0.7262004,0.76,0.0,0.388,0.7135842,0.0,0.0,0.99,0.96,0.0,0.0,0.8,1.0391635,0.0,0.0,0.15,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
37,0.7262004,0.76,0.0,0.348,0.778231,0.0,0.0,0.99,0.96,0.0,0.0,0.7,1.0391635,0.0,0.0,0.04,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.01,1.0428118,0.0,0.0
38,0.7262004,0.76,0.0,0.316,0.7790629,0.0,0.0,0.99,0.96,0.0,0.0,0.43,1.0391635,0.0,0.0,0.16,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
39,0.7262004,0.76,0.0,0.354,0.74039286,0.0,0.0,1.0,0.96,0.0,0.0,0.77,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
40,0.7262004,0.76,0.0,0.35,0.6827501,0.0,0.0,0.0,0.96,0.0,0.0,0.93,1.0391635,0.0,0.0,0.82,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
41,0.7262004,0.76,0.0,0.388,0.70268893,0.0,0.0,0.98,0.96,0.0,0.0,0.96,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
42,0.7262004,0.76,0.0,0.388,0.74476707,0.0,0.0,0.98,0.96,0.0,0.0,0.96,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
43,0.7262004,0.76,0.0,0.386,0.71307427,0.0,0.0,0.95,0.96,0.0,0.0,0.98,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
44,0.7262004,0.76,0.0,0.368,0.67539716,0.0,0.0,0.87,0.96,0.0,0.0,0.97,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
45,0.7262004,0.76,0.0,0.364,0.6872585,0.0,0.0,0.99,0.96,0.0,0.0,0.83,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
46,0.7262004,0.76,0.0,0.344,0.6527748,0.0,0.0,0.99,0.96,0.0,0.0,0.63,1.0391635,0.0,0.0,0.1,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
47,0.7262004,0.76,0.0,0.294,0.6796372,0.0,0.0,0.99,0.96,0.0,0.0,0.48,1.0391635,0.0,0.0,0.0,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
