,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4
1,0.71382743,0.732,0.0,0.5,0.7785799,0.0024765101,7.3825504e-05,0.72,0.96,0.0,0.0,0.95,1.0552144,141.0,0.0037852349,0.83,1.0128926,55.0,0.0014765101,0.0,1.0129703,89.0,0.0023892617,0.0,1.0427572,84.0,0.0022550335
1,0.71382743,0.732,0.0,0.396,0.76312256,0.0,0.0,0.99,0.96,0.0,0.0,0.85,1.0552144,0.0,0.0,0.14,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
2,0.71382743,0.732,0.0,0.508,0.77654034,0.0,0.0,0.92,0.96,0.0,0.0,0.98,1.0552144,0.0,0.0,0.63,1.0128926,0.0,0.0,0.01,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
3,0.71382743,0.732,0.0,0.448,0.7758963,0.0,0.0,0.98,0.96,0.0,0.0,0.79,1.0552144,0.0,0.0,0.47,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
4,0.71382743,0.732,0.0,0.458,0.8133319,0.0,0.0,0.99,0.96,0.0,0.0,0.83,1.0552144,0.0,0.0,0.3,1.0128926,0.0,0.0,0.17,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
5,0.71382743,0.732,0.0,0.438,0.8267765,0.0,0.0,0.99,0.96,0.0,0.0,0.89,1.0552144,0.0,0.0,0.31,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
6,0.71382743,0.732,0.0,0.494,0.82218766,0.0,0.0,0.79,0.96,0.0,0.0,0.99,1.0552144,0.0,0.0,0.69,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
7,0.71382743,0.732,0.0,0.508,0.8276352,0.0,0.0,0.95,0.96,0.0,0.0,0.88,1.0552144,0.0,0.0,0.37,1.0128926,0.0,0.0,0.34,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
8,0.71382743,0.732,0.0,0.502,0.8300236,0.0,0.0,0.82,0.96,0.0,0.0,0.84,1.0552144,0.0,0.0,0.85,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
9,0.71382743,0.732,0.0,0.422,0.7992969,0.0,0.0,1.0,0.96,0.0,0.0,0.91,1.0552144,0.0,0.0,0.18,1.0128926,0.0,0.0,0.02,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
10,0.71382743,0.732,0.0,0.446,0.7889652,0.0,0.0,0.38,0.96,0.0,0.0,0.77,1.0552144,0.0,0.0,0.96,1.0128926,0.0,0.0,0.12,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
11,0.71382743,0.732,0.0,0.49,0.79690856,0.0,0.0,0.96,0.96,0.0,0.0,0.87,1.0552144,0.0,0.0,0.34,1.0128926,0.0,0.0,0.28,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
12,0.71382743,0.732,0.0,0.552,0.7986797,0.0,0.0,0.93,0.96,0.0,0.0,0.84,1.0552144,0.0,0.0,0.7,1.0128926,0.0,0.0,0.29,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
13,0.71382743,0.732,0.0,0.482,0.7808072,0.0,0.0,0.85,0.96,0.0,0.0,0.85,1.0552144,0.0,0.0,0.1,1.0128926,0.0,0.0,0.61,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
14,0.71382743,0.732,0.0,0.42,0.7555818,0.0,0.0,0.95,0.96,0.0,0.0,0.56,1.0552144,0.0,0.0,0.03,1.0128926,0.0,0.0,0.56,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
15,0.71382743,0.732,0.0,0.398,0.77162945,0.0,0.0,0.99,0.96,0.0,0.0,0.71,1.0552144,0.0,0.0,0.07,1.0128926,0.0,0.0,0.22,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
16,0.71382743,0.732,0.0,0.328,0.7557965,0.0,0.0,1.0,0.96,0.0,0.0,0.58,1.0552144,0.0,0.0,0.06,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
17,0.71382743,0.732,0.0,0.43,0.7127254,0.0,0.0,0.96,0.96,0.0,0.0,0.9,1.0552144,0.0,0.0,0.29,1.0128926,0.0,0.0,0.0,1.0129703,0.0,0.0,0.0,1.0427572,0.0,0.0
18,0.7262004,0.76,0.28449824,0.496,0.77058285,0.0019463088,4.6979865e-05,0.94,0.96,0.0,0.0,0.82,1.0391635,69.0,0.001852349,0.39,1.0427673,41.0,0.0011006711,0.02,1.0378478,139.0,0.0037315437,0.31,1.0428118,41.0,0.0011006711
19,0.7262004,0.76,0.0,0.416,0.7524152,0.0,0.0,0.94,0.96,0.0,0.0,0.96,1.0391635,0.0,0.0,0.18,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
20,0.7262004,0.76,0.0,0.392,0.7815049,0.0,0.0,0.99,0.96,0.0,0.0,0.82,1.0391635,0.0,0.0,0.11,1.0427673,0.0,0.0,0.04,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
21,0.7262004,0.76,0.0,0.442,0.8030002,0.0,0.0,0.98,0.96,0.0,0.0,0.83,1.0391635,0.0,0.0,0.4,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
22,0.7262004,0.76,0.0,0.446,0.80643517,0.0,0.0,0.74,0.96,0.0,0.0,1.0,1.0391635,0.0,0.0,0.49,1.0427673,0.0,0.0,0.0,1.0378478,0.0,0.0,0.0,1.0428118,0.0,0.0
