,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.759,0.9222075,0.0032254944,0.0022809305,0.99,1.0,0.0,0.0,0.99,0.9893148,2820.0,0.003424229,0.89,0.92082936,2820.0,0.003424229,0.8,0.943801,2820.0,0.003424229,0.91,0.9387666,2820.0,0.003424229,0.92,0.88811123,2820.0,0.003424229,0.73,0.9054285,2792.0,0.0033902298,0.82,0.8900808,2820.0,0.003424229,0.0,0.7278037,2819.0,0.003423015,0.54,0.7379073,1376.0,0.0016708296
1,0.80864257,0.834,0.66591877,0.761,0.9578901,0.003225899,0.0029493165,1.0,1.0,0.0,0.0,1.0,0.98782885,2820.0,0.003424229,0.84,0.9138458,2820.0,0.003424229,0.95,0.9427591,2820.0,0.003424229,0.94,0.93725866,2820.0,0.003424229,0.66,0.88689923,2820.0,0.003424229,0.88,0.9058275,2777.0,0.003372016,0.82,0.8892423,2820.0,0.003424229,0.12,0.7227275,2820.0,0.003424229,0.4,0.7377614,1393.0,0.0016914721
2,0.80864257,0.834,0.581439,0.74,0.9634308,0.003226034,0.0030193392,1.0,1.0,0.0,0.0,0.99,0.98509,2820.0,0.003424229,0.92,0.9067335,2820.0,0.003424229,0.95,0.93976456,2820.0,0.003424229,0.94,0.936744,2820.0,0.003424229,0.7,0.88689923,2820.0,0.003424229,0.81,0.9050966,2777.0,0.003372016,0.84,0.88856536,2820.0,0.003424229,0.06,0.7197042,2820.0,0.003424229,0.19,0.7377614,1394.0,0.0016926863
3,0.80864257,0.834,0.7236375,0.779,0.9693041,0.0032279228,0.003138607,1.0,1.0,0.0,0.0,1.0,0.9812181,2820.0,0.003424229,0.95,0.9014771,2820.0,0.003424229,0.91,0.9407541,2820.0,0.003424229,0.93,0.9351705,2820.0,0.003424229,0.79,0.8842156,2820.0,0.003424229,0.75,0.90389955,2786.0,0.0033829443,0.82,0.88768387,2820.0,0.003424229,0.36,0.7193101,2819.0,0.003423015,0.28,0.7377614,1400.0,0.001699972
4,0.80864257,0.834,0.8043231,0.831,0.9724069,0.0032280579,0.003254637,1.0,1.0,0.0,0.0,0.99,0.9760774,2820.0,0.003424229,0.94,0.8974197,2820.0,0.003424229,0.87,0.93933696,2820.0,0.003424229,0.93,0.93455696,2820.0,0.003424229,0.86,0.88342106,2820.0,0.003424229,0.85,0.90254766,2786.0,0.0033829443,0.86,0.8868964,2820.0,0.003424229,0.38,0.7171499,2819.0,0.003423015,0.63,0.7377614,1401.0,0.0017011862
5,0.80864257,0.834,0.8159032,0.834,0.97628546,0.0032272483,0.003311977,1.0,1.0,0.0,0.0,0.99,0.96958405,2820.0,0.003424229,0.85,0.8895824,2820.0,0.003424229,0.95,0.93714887,2820.0,0.003424229,0.9,0.9328991,2820.0,0.003424229,0.76,0.88350266,2820.0,0.003424229,0.92,0.90136933,2778.0,0.00337323,0.77,0.8868964,2820.0,0.003424229,0.45,0.7171328,2820.0,0.003424229,0.75,0.7374878,1402.0,0.0017024005
6,0.80864257,0.834,0.75758094,0.81,0.97606385,0.0032283277,0.0033413894,1.0,1.0,0.0,0.0,0.99,0.9647107,2820.0,0.003424229,0.91,0.8831767,2820.0,0.003424229,0.94,0.9349663,2820.0,0.003424229,0.94,0.931588,2820.0,0.003424229,0.84,0.8821674,2820.0,0.003424229,0.94,0.9004673,2790.0,0.0033878013,0.86,0.8868964,2820.0,0.003424229,0.32,0.713268,2820.0,0.003424229,0.36,0.73613894,1398.0,0.0016975434
7,0.80864257,0.834,0.80173695,0.826,0.9787234,0.003231431,0.0033741745,1.0,1.0,0.0,0.0,0.99,0.95711666,2820.0,0.003424229,0.88,0.87727314,2820.0,0.003424229,0.94,0.93349284,2820.0,0.003424229,0.92,0.92929095,2820.0,0.003424229,0.79,0.8827237,2820.0,0.003424229,0.88,0.9004673,2797.0,0.003396301,0.87,0.88578415,2820.0,0.003424229,0.56,0.7123016,2820.0,0.003424229,0.43,0.73613894,1414.0,0.0017169716
8,0.80864257,0.834,0.7492707,0.796,0.98215866,0.0032287324,0.0034145152,1.0,1.0,0.0,0.0,0.98,0.9486329,2820.0,0.003424229,0.87,0.87298685,2820.0,0.003424229,0.92,0.93332756,2820.0,0.003424229,0.95,0.92906386,2820.0,0.003424229,0.83,0.8827237,2820.0,0.003424229,0.85,0.8996202,2774.0,0.003368373,0.85,0.8833956,2820.0,0.003424229,0.32,0.71239287,2820.0,0.003424229,0.39,0.73613894,1417.0,0.0017206145
9,0.80864257,0.834,0.7490873,0.791,0.98116136,0.0032315657,0.003419507,1.0,1.0,0.0,0.0,0.98,0.93994844,2820.0,0.003424229,0.9,0.8734246,2820.0,0.003424229,0.95,0.93196607,2820.0,0.003424229,0.97,0.92885023,2820.0,0.003424229,0.68,0.8811357,2820.0,0.003424229,0.81,0.8996202,2793.0,0.003391444,0.85,0.88142395,2820.0,0.003424229,0.43,0.7130443,2820.0,0.003424229,0.34,0.7366857,1419.0,0.001723043
10,0.80864257,0.834,0.77151877,0.8,0.98193705,0.0032334547,0.003423015,1.0,1.0,0.0,0.0,0.99,0.9290705,2820.0,0.003424229,0.87,0.8699787,2820.0,0.003424229,0.92,0.9316145,2820.0,0.003424229,0.91,0.9292577,2820.0,0.003424229,0.81,0.8808168,2820.0,0.003424229,0.77,0.8996202,2787.0,0.0033841585,0.84,0.88142395,2820.0,0.003424229,0.43,0.7130443,2820.0,0.003424229,0.46,0.73496187,1439.0,0.0017473283
11,0.80864257,0.834,0.79634434,0.825,0.98093975,0.0032341292,0.0034219355,1.0,1.0,0.0,0.0,0.99,0.90860033,2820.0,0.003424229,0.91,0.8669323,2820.0,0.003424229,0.9,0.930973,2820.0,0.003424229,0.93,0.9280288,2820.0,0.003424229,0.84,0.88073653,2820.0,0.003424229,0.89,0.8986433,2792.0,0.0033902298,0.84,0.88035595,2820.0,0.003424229,0.57,0.7111043,2820.0,0.003424229,0.38,0.73496187,1439.0,0.0017473283
12,0.80864257,0.834,0.7626965,0.8,0.98193705,0.0032365578,0.0034235546,1.0,1.0,0.0,0.0,0.99,0.8911024,2820.0,0.003424229,0.93,0.85934484,2820.0,0.003424229,0.9,0.9302643,2820.0,0.003424229,0.93,0.9280288,2820.0,0.003424229,0.77,0.8807343,2820.0,0.003424229,0.83,0.8986433,2805.0,0.0034060152,0.84,0.8794527,2820.0,0.003424229,0.46,0.71192944,2820.0,0.003424229,0.35,0.73496187,1444.0,0.0017533996
13,0.80864257,0.834,0.78626436,0.816,0.9834885,0.0032345338,0.0034211262,1.0,1.0,0.0,0.0,0.99,0.86742014,2820.0,0.003424229,0.93,0.85811156,2820.0,0.003424229,0.92,0.930021,2820.0,0.003424229,0.93,0.92743653,2820.0,0.003424229,0.76,0.87984395,2820.0,0.003424229,0.92,0.89817655,2804.0,0.003404801,0.81,0.8786815,2820.0,0.003424229,0.46,0.70995283,2820.0,0.003424229,0.44,0.73496187,1430.0,0.0017364
14,0.80864257,0.834,0.7843916,0.812,0.98260194,0.0032318356,0.0034038564,0.99,1.0,0.0,0.0,0.97,0.84573877,2820.0,0.003424229,0.93,0.8493726,2820.0,0.003424229,0.95,0.92980593,2820.0,0.003424229,0.93,0.926408,2820.0,0.003424229,0.75,0.87984395,2820.0,0.003424229,0.9,0.89817655,2794.0,0.0033926582,0.77,0.8786815,2820.0,0.003424229,0.43,0.70995283,2820.0,0.003424229,0.5,0.73655546,1420.0,0.0017242573
15,0.80864257,0.834,0.7139718,0.792,0.98326683,0.00323251,0.0034126262,1.0,1.0,0.0,0.0,0.98,0.8109485,2820.0,0.003424229,0.92,0.8473756,2820.0,0.003424229,0.94,0.929701,2820.0,0.003424229,0.92,0.9263716,2820.0,0.003424229,0.83,0.88061506,2820.0,0.003424229,0.93,0.8973235,2804.0,0.003404801,0.86,0.8775093,2820.0,0.003424229,0.19,0.70995283,2819.0,0.003423015,0.35,0.73655546,1416.0,0.0017194002
16,0.80864257,0.834,0.78577507,0.809,0.98138297,0.0032315657,0.00341465,0.98,1.0,0.0,0.0,0.99,0.76551765,2820.0,0.003424229,0.87,0.8446548,2820.0,0.003424229,0.93,0.92892236,2820.0,0.003424229,0.9,0.9250165,2820.0,0.003424229,0.85,0.88061506,2820.0,0.003424229,0.85,0.89546955,2798.0,0.0033975153,0.67,0.8775093,2820.0,0.003424229,0.41,0.70995283,2820.0,0.003424229,0.64,0.73655546,1414.0,0.0017169716
17,0.80864257,0.834,0.7838886,0.814,0.9802748,0.0032280579,0.0034142453,0.99,1.0,0.0,0.0,0.99,0.7297724,2820.0,0.003424229,0.92,0.839575,2820.0,0.003424229,0.93,0.92836,2820.0,0.003424229,0.86,0.923153,2820.0,0.003424229,0.79,0.8795027,2820.0,0.003424229,0.91,0.89546955,2783.0,0.0033793014,0.71,0.8780374,2820.0,0.003424229,0.34,0.7087588,2820.0,0.003424229,0.7,0.738431,1403.0,0.0017036147
18,0.80864257,0.834,0.7290278,0.784,0.9792775,0.0032290022,0.0034216659,1.0,1.0,0.0,0.0,0.99,0.6748121,2820.0,0.003424229,0.9,0.83825755,2820.0,0.003424229,0.91,0.92989284,2820.0,0.003424229,0.88,0.92199665,2820.0,0.003424229,0.76,0.8788167,2820.0,0.003424229,0.85,0.8954229,2770.0,0.003363516,0.82,0.8780374,2820.0,0.003424229,0.51,0.7087588,2820.0,0.003424229,0.22,0.7344935,1423.0,0.0017279001
19,0.80864257,0.834,0.6692068,0.744,0.9793883,0.0032366926,0.003417618,1.0,1.0,0.0,0.0,0.98,0.58858985,2820.0,0.003424229,0.9,0.8361485,2820.0,0.003424229,0.91,0.92850524,2820.0,0.003424229,0.86,0.92222214,2820.0,0.003424229,0.77,0.8779548,2820.0,0.003424229,0.71,0.8954229,2801.0,0.0034011581,0.78,0.8780374,2820.0,0.003424229,0.17,0.7087588,2820.0,0.003424229,0.36,0.7344935,1449.0,0.001759471
20,0.80864257,0.834,0.6906412,0.754,0.97539896,0.0032360181,0.0034188326,1.0,1.0,0.0,0.0,0.98,0.48688194,2820.0,0.003424229,0.85,0.8251499,2820.0,0.003424229,0.94,0.9246335,2820.0,0.003424229,0.88,0.9211934,2820.0,0.003424229,0.72,0.8765219,2820.0,0.003424229,0.86,0.8958026,2796.0,0.0033950869,0.74,0.87735176,2820.0,0.003424229,0.34,0.7087588,2820.0,0.003424229,0.23,0.7344935,1449.0,0.001759471
21,0.80864257,0.834,0.72028196,0.778,0.97661793,0.0032397958,0.0034226102,0.99,1.0,0.0,0.0,0.98,0.34874347,2820.0,0.003424229,0.91,0.82017696,2820.0,0.003424229,0.94,0.92385095,2820.0,0.003424229,0.9,0.9205114,2820.0,0.003424229,0.78,0.8758546,2820.0,0.003424229,0.88,0.8958026,2796.0,0.0033950869,0.79,0.8762029,2820.0,0.003424229,0.32,0.7087588,2820.0,0.003424229,0.29,0.7333511,1477.0,0.0017934704
22,0.80864257,0.834,0.6583529,0.769,0.9757314,0.003239256,0.0034204514,1.0,1.0,0.0,0.0,0.98,0.23689105,2820.0,0.003424229,0.95,0.8060462,2820.0,0.003424229,0.88,0.92166865,2820.0,0.003424229,0.84,0.9206898,2820.0,0.003424229,0.74,0.8758546,2820.0,0.003424229,0.92,0.89476687,2783.0,0.0033793014,0.77,0.8762029,2820.0,0.003424229,0.08,0.7087588,2820.0,0.003424229,0.53,0.73223466,1486.0,0.0018043988
23,0.80864257,0.834,0.7374158,0.774,0.9788342,0.0032423593,0.0034226102,1.0,1.0,0.0,0.0,0.99,0.11450595,2820.0,0.003424229,0.87,0.80505157,2820.0,0.003424229,0.92,0.9217763,2820.0,0.003424229,0.89,0.9171658,2820.0,0.003424229,0.74,0.8758546,2820.0,0.003424229,0.81,0.8956493,2791.0,0.0033890156,0.74,0.87664706,2820.0,0.003424229,0.38,0.7070331,2820.0,0.003424229,0.4,0.73223466,1501.0,0.0018226128
24,0.80864257,0.834,0.6769932,0.764,0.98049647,0.0032414147,0.0034222053,1.0,1.0,0.0,0.0,0.99,0.0043666437,2820.0,0.003424229,0.9,0.80269074,2820.0,0.003424229,0.92,0.9195962,2820.0,0.003424229,0.87,0.9171658,2820.0,0.003424229,0.77,0.8751484,2820.0,0.003424229,0.87,0.89611274,2797.0,0.003396301,0.83,0.87664706,2820.0,0.003424229,0.15,0.7070331,2820.0,0.003424229,0.34,0.73223466,1488.0,0.0018068274
25,0.80864257,0.834,0.738445,0.785,0.9794991,0.0032441132,0.0034173485,1.0,1.0,0.0,0.0,0.99,-0.26381218,2820.0,0.003424229,0.91,0.794284,2820.0,0.003424229,0.91,0.92010283,2820.0,0.003424229,0.88,0.9180273,2820.0,0.003424229,0.75,0.8744576,2820.0,0.003424229,0.89,0.8965867,2804.0,0.003404801,0.82,0.8767069,2820.0,0.003424229,0.33,0.7070331,2820.0,0.003424229,0.37,0.7313494,1501.0,0.0018226128
26,0.80864257,0.834,0.78893185,0.812,0.97661793,0.0032439781,0.0034122216,1.0,1.0,0.0,0.0,0.99,-0.84365314,2820.0,0.003424229,0.9,0.79147315,2820.0,0.003424229,0.75,0.91988057,2820.0,0.003424229,0.89,0.9180273,2820.0,0.003424229,0.89,0.87490135,2820.0,0.003424229,0.9,0.8968776,2799.0,0.0033987297,0.8,0.87582225,2820.0,0.003424229,0.43,0.7070331,2820.0,0.003424229,0.57,0.7313494,1505.0,0.0018274698
27,0.80864257,0.834,0.68090713,0.745,0.97661793,0.0032408752,0.0034204514,1.0,1.0,0.0,0.0,0.96,-1.3877563,2820.0,0.003424229,0.9,0.7832928,2820.0,0.003424229,0.95,0.9201028,2820.0,0.003424229,0.84,0.91732997,2820.0,0.003424229,0.57,0.87490135,2820.0,0.003424229,0.77,0.89766264,2793.0,0.003391444,0.81,0.8734813,2820.0,0.003424229,0.19,0.7070331,2820.0,0.003424229,0.46,0.73390377,1488.0,0.0018068274
28,0.80864257,0.834,0.79322857,0.806,0.9785018,0.0032383117,0.0034139755,1.0,1.0,0.0,0.0,0.98,-2.4504728,2820.0,0.003424229,0.89,0.7791902,2820.0,0.003424229,0.92,0.91830856,2820.0,0.003424229,0.83,0.9163392,2820.0,0.003424229,0.7,0.87760836,2820.0,0.003424229,0.82,0.895764,2800.0,0.003399944,0.73,0.8723987,2820.0,0.003424229,0.57,0.7070331,2820.0,0.003424229,0.62,0.73390377,1462.0,0.0017752565
29,0.80864257,0.834,0.7674388,0.798,0.97772604,0.003239121,0.0034218007,1.0,1.0,0.0,0.0,0.99,-3.3803077,2820.0,0.003424229,0.9,0.76571393,2820.0,0.003424229,0.89,0.9178978,2820.0,0.003424229,0.89,0.91578907,2820.0,0.003424229,0.77,0.87682796,2820.0,0.003424229,0.86,0.8958214,2807.0,0.0034084436,0.81,0.8723987,2820.0,0.003424229,0.39,0.70704436,2820.0,0.003424229,0.48,0.73390377,1461.0,0.0017740421
