,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.749,0.91391844,0.0050865803,0.0035873016,1.0,1.0,0.0,0.0,0.99,0.95743304,3525.0,0.0050865803,0.89,0.9435385,3525.0,0.0050865803,0.96,0.9502943,3525.0,0.0050865803,0.94,0.93216914,3525.0,0.0050865803,0.84,0.87940997,3525.0,0.0050865803,0.84,0.9117965,3525.0,0.0050865803,0.88,0.8879352,3525.0,0.0050865803,0.15,0.73022485,3525.0,0.0050865803,0.0,0.72181433,3525.0,0.0050865803
1,0.80864257,0.834,0.6265587,0.757,0.9607048,0.0050865803,0.0045310245,1.0,1.0,0.0,0.0,1.0,0.9484296,3525.0,0.0050865803,0.88,0.93371034,3525.0,0.0050865803,0.97,0.94982356,3525.0,0.0050865803,0.97,0.9308131,3525.0,0.0050865803,0.76,0.8776883,3525.0,0.0050865803,0.84,0.91050434,3525.0,0.0050865803,0.84,0.88692427,3525.0,0.0050865803,0.21,0.72874296,3525.0,0.0050865803,0.1,0.7178115,3525.0,0.0050865803
2,0.80864257,0.834,0.59013206,0.752,0.96912676,0.0050865803,0.00488953,1.0,1.0,0.0,0.0,1.0,0.9293736,3525.0,0.0050865803,0.89,0.9228811,3525.0,0.0050865803,0.97,0.9480146,3525.0,0.0050865803,0.97,0.9303969,3525.0,0.0050865803,0.73,0.8771775,3525.0,0.0050865803,0.86,0.91050434,3525.0,0.0050865803,0.87,0.88558847,3525.0,0.0050865803,0.16,0.73032296,3525.0,0.0050865803,0.07,0.7178115,3525.0,0.0050865803
