,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.84833646,0.863,0.0,0.712,0.9214317,0.103981346,0.039090585,1.0,0.0,0.0,1.0,285109.0,0.34619808,0.87,305031.0,0.3703887,0.77,41022.0,0.049811605,0.9,16488.0,0.020020813,0.92,74220.0,0.0901228,0.8,14491.0,0.017595924,0.86,18755.0,0.022773553,0.0,14057.0,0.017068932,0.0,1525.0,0.0018517552
2,0.84833646,0.863,0.0,0.696,0.9539007,0.10456217,0.05498222,1.0,0.0,0.0,1.0,287316.0,0.34887797,0.88,307332.0,0.3731827,0.93,41283.0,0.05012853,0.95,16800.0,0.020399664,0.59,74389.0,0.09032801,0.8,14514.0,0.017623853,0.79,18825.0,0.02285855,0.02,14064.0,0.017077433,0.0,480.0,0.0005828475
2,0.80864257,0.834,0.0,0.708,0.9183289,0.07791201,0.022891067,0.98,0.0,0.0,0.99,205009.0,0.24893539,0.9,239423.0,0.29072315,0.74,32726.0,0.03973806,0.94,29927.0,0.036339328,0.91,49786.0,0.06045343,0.77,3772.0,0.00458021,0.85,9809.0,0.011910732,0.0,5691.0,0.006910386,0.0,1332.0,0.0016174018
4,0.80864257,0.834,0.51712173,0.741,0.954344,0.078261174,0.036688633,1.0,0.0,0.0,1.0,206921.0,0.25125706,0.83,239853.0,0.29124525,0.94,32812.0,0.039842486,0.94,30013.0,0.036443755,0.58,49827.0,0.060503215,0.81,3777.0,0.0045862813,0.81,9809.0,0.011910732,0.01,5717.0,0.006941957,0.49,1334.0,0.0016198304
6,0.80864257,0.834,0.49090338,0.743,0.9592199,0.0784135,0.040391333,1.0,0.0,0.0,0.99,207850.0,0.2523851,0.96,240064.0,0.29150146,0.91,32710.0,0.03971863,0.94,30054.0,0.03649354,0.72,49844.0,0.06052386,0.84,3779.0,0.00458871,0.87,9813.0,0.011915589,0.01,5737.0,0.006966242,0.19,1341.0,0.0016283303
8,0.80864257,0.834,0.0,0.712,0.964539,0.078658104,0.041789897,1.0,0.0,0.0,0.99,209511.0,0.254402,0.97,240256.0,0.2917346,0.88,32648.0,0.039643347,0.93,30056.0,0.03649597,0.77,49847.0,0.0605275,0.54,3780.0,0.004589924,0.83,9820.0,0.011924089,0.0,5742.0,0.0069723134,0.21,1345.0,0.0016331873
10,0.80864257,0.834,0.7232368,0.795,0.9680851,0.07875174,0.04339111,1.0,0.0,0.0,0.98,210074.0,0.25508565,0.95,240360.0,0.2918609,0.85,32702.0,0.039708916,0.95,30059.0,0.036499612,0.89,49825.0,0.060500786,0.85,3776.0,0.0045850673,0.85,9821.0,0.011925303,0.18,5737.0,0.006966242,0.45,1345.0,0.0016331873
12,0.80864257,0.834,0.7736172,0.806,0.9691933,0.07891742,0.044126414,1.0,0.0,0.0,0.98,210754.0,0.25591135,0.89,240733.0,0.2923138,0.95,32799.0,0.0398267,0.91,30076.0,0.036520254,0.75,49876.0,0.060562715,0.83,3779.0,0.00458871,0.71,9821.0,0.011925303,0.32,5744.0,0.0069747423,0.72,1345.0,0.0016331873
14,0.80864257,0.834,0.6958368,0.778,0.9689716,0.07909052,0.046341777,1.0,0.0,0.0,0.98,211667.0,0.25701997,0.94,241002.0,0.29264045,0.95,32854.0,0.039893486,0.95,30075.0,0.03651904,0.73,49914.0,0.060608856,0.9,3780.0,0.004589924,0.84,9821.0,0.011925303,0.29,5750.0,0.0069820276,0.2,1347.0,0.0016356158
16,0.80864257,0.834,0.7548629,0.794,0.97096634,0.079306796,0.04431503,1.0,0.0,0.0,0.99,213274.0,0.2589713,0.87,240984.0,0.2926186,0.92,32838.0,0.03987406,0.93,30084.0,0.03652997,0.81,49934.0,0.06063314,0.8,3790.0,0.0046020667,0.85,9821.0,0.011925303,0.4,5741.0,0.0069710994,0.37,1347.0,0.0016356158
