,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
18,0.80864257,0.834,0.67614996,0.75,0.9749557,0.07947963,0.044115487,1.0,0.0,0.0,0.98,214244.0,0.26014912,0.89,241179.0,0.29285538,0.93,32868.0,0.039910484,0.91,30122.0,0.03657611,0.76,49975.0,0.060682926,0.74,3798.0,0.004611781,0.79,9821.0,0.011925303,0.29,5741.0,0.0069710994,0.21,1346.0,0.0016344016
20,0.80864257,0.834,0.6543462,0.746,0.9737367,0.07962075,0.043957226,1.0,0.0,0.0,0.96,215114.0,0.26120555,0.89,241272.0,0.2929683,0.95,32928.0,0.03998334,0.95,30127.0,0.036582183,0.48,49981.0,0.060690213,0.8,3801.0,0.0046154237,0.81,9821.0,0.011925303,0.5,5750.0,0.0069820276,0.12,1346.0,0.0016344016
22,0.80864257,0.834,0.73970056,0.794,0.9731826,0.07975972,0.050186004,1.0,0.0,0.0,0.99,216046.0,0.26233724,0.95,241348.0,0.2930606,0.92,32926.0,0.03998091,0.92,30116.0,0.036568824,0.8,50008.0,0.060723,0.82,3803.0,0.004617852,0.86,9821.0,0.011925303,0.42,5757.0,0.0069905277,0.26,1345.0,0.0016331873
24,0.80864257,0.834,0.8451675,0.854,0.9757314,0.07983729,0.054423656,1.0,0.0,0.0,0.98,216451.0,0.262829,0.93,241498.0,0.29324272,0.93,32922.0,0.039976053,0.92,30139.0,0.036596753,0.79,50007.0,0.060721785,0.85,3803.0,0.004617852,0.82,9821.0,0.011925303,0.71,5758.0,0.0069917417,0.61,1346.0,0.0016344016
26,0.80864257,0.834,0.8157977,0.83,0.9748449,0.07991366,0.054727223,1.0,0.0,0.0,0.99,216817.0,0.26327345,0.91,241632.0,0.29340544,0.86,32897.0,0.0399457,0.92,30191.0,0.036659896,0.8,50045.0,0.060767926,0.86,3800.0,0.0046142098,0.8,9822.0,0.011926518,0.52,5760.0,0.00699417,0.64,1347.0,0.0016356158
28,0.80864257,0.834,0.7806214,0.806,0.97539896,0.079968974,0.060106825,1.0,0.0,0.0,0.98,217091.0,0.26360616,0.88,241752.0,0.29355115,0.92,32902.0,0.039951768,0.94,30220.0,0.036695108,0.67,50024.0,0.060742427,0.93,3802.0,0.004616638,0.7,9824.0,0.011928946,0.41,5759.0,0.006992956,0.63,1347.0,0.0016356158
30,0.80864257,0.834,0.78257793,0.813,0.9732934,0.08002874,0.060524262,1.0,0.0,0.0,0.98,217443.0,0.2640336,0.93,241776.0,0.2935803,0.95,32957.0,0.040018555,0.91,30229.0,0.036706038,0.85,50038.0,0.060759425,0.71,3804.0,0.0046190666,0.73,9824.0,0.011928946,0.34,5751.0,0.006983242,0.73,1342.0,0.0016295445
32,0.80864257,0.834,0.73377883,0.793,0.9744016,0.08003954,0.06155801,1.0,0.0,0.0,0.98,217641.0,0.264274,0.92,241621.0,0.2933921,0.88,32955.0,0.040016126,0.91,30265.0,0.03674975,0.83,50041.0,0.06076307,0.91,3804.0,0.0046190666,0.82,9824.0,0.011928946,0.22,5751.0,0.006983242,0.46,1342.0,0.0016295445
34,0.80864257,0.834,0.7252859,0.782,0.9728502,0.08009904,0.06130598,1.0,0.0,0.0,0.98,218093.0,0.26482284,0.9,241624.0,0.29339573,0.89,32924.0,0.03997848,0.82,30275.0,0.036761895,0.88,50051.0,0.060775213,0.74,3804.0,0.0046190666,0.52,9824.0,0.011928946,0.21,5751.0,0.006983242,0.88,1339.0,0.0016259018
36,0.80864257,0.834,0.81285226,0.825,0.9734042,0.08022559,0.05837879,1.0,0.0,0.0,0.98,218811.0,0.26569468,0.91,241776.0,0.2935803,0.92,32922.0,0.039976053,0.89,30304.0,0.036797106,0.79,50085.0,0.060816497,0.81,3803.0,0.004617852,0.7,9831.0,0.011937446,0.55,5751.0,0.006983242,0.7,1340.0,0.001627116
38,0.80864257,0.834,0.66001296,0.734,0.97473407,0.08025068,0.055712666,1.0,0.0,0.0,0.97,219074.0,0.26601404,0.93,241702.0,0.29349044,0.89,32908.0,0.039959054,0.86,30305.0,0.03679832,0.74,50093.0,0.060826212,0.82,3803.0,0.004617852,0.65,9832.0,0.01193866,0.24,5750.0,0.0069820276,0.24,1342.0,0.0016295445
40,0.80864257,0.834,0.78906125,0.808,0.97683954,0.08028131,0.055835444,1.0,0.0,0.0,0.97,219432.0,0.26644874,0.91,241585.0,0.29334837,0.89,32926.0,0.03998091,0.9,30286.0,0.03677525,0.82,50082.0,0.060812853,0.74,3803.0,0.004617852,0.8,9838.0,0.011945946,0.47,5738.0,0.0069674565,0.58,1346.0,0.0016344016
42,0.80864257,0.834,0.7475484,0.786,0.97140956,0.08035039,0.059722576,1.0,0.0,0.0,0.97,219947.0,0.2670741,0.89,241517.0,0.2932658,0.95,32934.0,0.039990626,0.92,30325.0,0.036822606,0.75,50096.0,0.06082985,0.88,3808.0,0.004623924,0.72,9841.0,0.011949589,0.4,5731.0,0.006958957,0.38,1349.0,0.0016380444
44,0.80864257,0.834,0.798763,0.818,0.9736259,0.08041677,0.06836478,0.99,0.0,0.0,0.98,220415.0,0.26764238,0.91,241411.0,0.2931371,0.92,32957.0,0.040018555,0.9,30371.0,0.036878463,0.67,50146.0,0.060890567,0.9,3814.0,0.004631209,0.79,9843.0,0.011952017,0.46,5731.0,0.006958957,0.66,1352.0,0.0016416872
46,0.80864257,0.834,0.7715661,0.799,0.9674202,0.08047829,0.072861604,1.0,0.0,0.0,0.98,220688.0,0.26797387,0.93,241487.0,0.29322937,0.88,33037.0,0.040115695,0.92,30376.0,0.036884535,0.76,50168.0,0.06091728,0.77,3815.0,0.0046324236,0.74,9844.0,0.011953231,0.36,5731.0,0.006958957,0.65,1350.0,0.0016392587
48,0.80864257,0.834,0.7569653,0.787,0.964539,0.0805695,0.06824133,1.0,0.0,0.0,0.99,221190.0,0.26858342,0.87,241649.0,0.2934261,0.91,33010.0,0.04008291,0.92,30365.0,0.036871176,0.68,50221.0,0.060981635,0.76,3819.0,0.0046372805,0.85,9837.0,0.011944732,0.5,5731.0,0.006958957,0.39,1350.0,0.0016392587
50,0.80864257,0.834,0.6637077,0.753,0.96542555,0.08066556,0.06893386,1.0,0.0,0.0,0.99,221750.0,0.26926342,0.9,241773.0,0.29357666,0.92,32960.0,0.040022198,0.87,30432.0,0.036952533,0.68,50245.0,0.061010778,0.82,3820.0,0.004638495,0.79,9829.0,0.011935017,0.12,5725.0,0.006951671,0.44,1350.0,0.0016392587
52,0.80864257,0.834,0.7899512,0.815,0.9640958,0.08067784,0.07035941,0.99,0.0,0.0,0.99,222023.0,0.2695949,0.9,241709.0,0.29349893,0.84,32934.0,0.039990626,0.82,30425.0,0.03694403,0.85,50171.0,0.060920924,0.9,3814.0,0.004631209,0.87,9824.0,0.011928946,0.39,5725.0,0.006951671,0.6,1350.0,0.0016392587
54,0.80864257,0.834,0.6697229,0.733,0.96332,0.080643974,0.069413364,1.0,0.0,0.0,0.99,222395.0,0.27004662,0.84,241372.0,0.29308975,0.82,32783.0,0.03980727,0.88,30378.0,0.036886964,0.69,50082.0,0.060812853,0.67,3810.0,0.0046263523,0.84,9821.0,0.011925303,0.41,5726.0,0.006952885,0.19,1357.0,0.0016477585
56,0.80864257,0.834,0.5190058,0.679,0.9601064,0.08064262,0.06770503,1.0,0.0,0.0,0.99,222775.0,0.27050805,0.9,241170.0,0.29284444,0.95,32756.0,0.039774485,0.74,30320.0,0.036816534,0.48,49993.0,0.060704783,0.67,3796.0,0.0046093524,0.8,9821.0,0.011925303,0.04,5727.0,0.0069540995,0.22,1356.0,0.0016465443
58,0.80864257,0.834,0.71448237,0.751,0.9639849,0.08064721,0.069809616,0.99,0.0,0.0,0.99,222989.0,0.2707679,0.95,241144.0,0.29281288,0.91,32676.0,0.039677344,0.89,30276.0,0.03676311,0.63,49971.0,0.06067807,0.73,3790.0,0.0046020667,0.56,9821.0,0.011925303,0.35,5726.0,0.006952885,0.51,1355.0,0.00164533
60,0.80864257,0.834,0.6645477,0.748,0.96531475,0.080667585,0.069307856,0.99,0.0,0.0,0.99,223327.0,0.2711783,0.89,241030.0,0.29267445,0.87,32732.0,0.039745346,0.9,30224.0,0.036699966,0.65,49902.0,0.060594287,0.91,3787.0,0.0045984243,0.77,9819.0,0.0119228745,0.36,5724.0,0.0069504566,0.15,1354.0,0.0016441158
