,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.734,0.9136968,0.0050865803,0.003318262,1.0,1.0,0.0,0.0,1.0,0.9804545,3525.0,0.0050865803,0.91,0.9375486,3525.0,0.0050865803,0.96,0.9401295,3525.0,0.0050865803,0.94,0.95219654,3525.0,0.0050865803,0.82,0.8864651,3525.0,0.0050865803,0.84,0.8993954,3525.0,0.0050865803,0.87,0.8751111,3525.0,0.0050865803,0.0,0.7378395,3525.0,0.0050865803,0.0,0.722256,3525.0,0.0050865803
1,0.80864257,0.834,0.0,0.73,0.95981824,0.0050865803,0.004271284,1.0,1.0,0.0,0.0,1.0,0.9774047,3525.0,0.0050865803,0.85,0.9336592,3525.0,0.0050865803,0.96,0.9376071,3525.0,0.0050865803,0.97,0.9511323,3525.0,0.0050865803,0.76,0.8834783,3525.0,0.0050865803,0.91,0.8985208,3525.0,0.0050865803,0.75,0.8726508,3525.0,0.0050865803,0.1,0.73852193,3525.0,0.0050865803,0.0,0.72219783,3525.0,0.0050865803
2,0.80864257,0.834,0.544263,0.747,0.9700576,0.0050865803,0.004712682,1.0,1.0,0.0,0.0,1.0,0.9719103,3525.0,0.0050865803,0.88,0.93047154,3525.0,0.0050865803,0.97,0.93425554,3525.0,0.0050865803,0.96,0.9502832,3525.0,0.0050865803,0.73,0.8834916,3525.0,0.0050865803,0.84,0.89779377,3525.0,0.0050865803,0.89,0.87064743,3525.0,0.0050865803,0.17,0.7405279,3525.0,0.0050865803,0.03,0.7208935,3525.0,0.0050865803
3,0.80864257,0.834,0.737857,0.795,0.97650707,0.0050865803,0.0049714604,1.0,1.0,0.0,0.0,1.0,0.96740264,3525.0,0.0050865803,0.94,0.92367727,3525.0,0.0050865803,0.96,0.93270826,3525.0,0.0050865803,0.95,0.94938946,3525.0,0.0050865803,0.83,0.8829744,3525.0,0.0050865803,0.84,0.8975992,3525.0,0.0050865803,0.78,0.87143624,3525.0,0.0050865803,0.38,0.7410622,3525.0,0.0050865803,0.27,0.7208535,3525.0,0.0050865803
4,0.80864257,0.834,0.8304916,0.856,0.98138297,0.0050865803,0.0050323876,1.0,1.0,0.0,0.0,1.0,0.96352476,3525.0,0.0050865803,0.94,0.9195208,3525.0,0.0050865803,0.95,0.93356574,3525.0,0.0050865803,0.93,0.94892544,3525.0,0.0050865803,0.87,0.8818481,3525.0,0.0050865803,0.88,0.8975992,3525.0,0.0050865803,0.85,0.8703747,3525.0,0.0050865803,0.38,0.7391168,3525.0,0.0050865803,0.76,0.7208535,3525.0,0.0050865803
5,0.80864257,0.834,0.7513367,0.803,0.984242,0.0050865803,0.0050521083,1.0,1.0,0.0,0.0,0.99,0.95694745,3525.0,0.0050865803,0.91,0.9170761,3525.0,0.0050865803,0.98,0.9333982,3525.0,0.0050865803,0.91,0.9481071,3525.0,0.0050865803,0.78,0.8811004,3525.0,0.0050865803,0.9,0.8975992,3525.0,0.0050865803,0.77,0.8705543,3525.0,0.0050865803,0.24,0.7391168,3525.0,0.0050865803,0.55,0.7208535,3525.0,0.0050865803
6,0.80864257,0.834,0.72004074,0.784,0.98585993,0.0050865803,0.005041847,1.0,1.0,0.0,0.0,0.99,0.95034325,3525.0,0.0050865803,0.92,0.9141852,3525.0,0.0050865803,0.97,0.9332896,3525.0,0.0050865803,0.93,0.94823146,3525.0,0.0050865803,0.77,0.8811004,3525.0,0.0050865803,0.81,0.8975992,3525.0,0.0050865803,0.86,0.8705543,3525.0,0.0050865803,0.34,0.7406461,3525.0,0.0050865803,0.25,0.7208535,3525.0,0.0050865803
7,0.80864257,0.834,0.84362745,0.856,0.9867908,0.0050865803,0.0050636525,1.0,1.0,0.0,0.0,1.0,0.9419844,3525.0,0.0050865803,0.88,0.91292834,3525.0,0.0050865803,0.93,0.9326073,3525.0,0.0050865803,0.93,0.9480275,3525.0,0.0050865803,0.8,0.8805537,3525.0,0.0050865803,0.81,0.8975992,3525.0,0.0050865803,0.89,0.8705543,3525.0,0.0050865803,0.8,0.7407535,3525.0,0.0050865803,0.52,0.7208535,3525.0,0.0050865803
8,0.80864257,0.834,0.79113925,0.827,0.9892509,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.9356035,3525.0,0.0050865803,0.93,0.9110309,3525.0,0.0050865803,0.95,0.9326073,3525.0,0.0050865803,0.93,0.94762033,3525.0,0.0050865803,0.82,0.8801607,3525.0,0.0050865803,0.87,0.8975992,3525.0,0.0050865803,0.88,0.86930215,3525.0,0.0050865803,0.57,0.7407535,3525.0,0.0050865803,0.33,0.7208535,3525.0,0.0050865803
9,0.80864257,0.834,0.8271524,0.847,0.99007094,0.0050865803,0.0050628507,1.0,1.0,0.0,0.0,0.99,0.92701733,3525.0,0.0050865803,0.93,0.90858305,3525.0,0.0050865803,0.93,0.9322213,3525.0,0.0050865803,0.94,0.9473602,3525.0,0.0050865803,0.71,0.8801607,3525.0,0.0050865803,0.84,0.8968598,3525.0,0.0050865803,0.91,0.86930215,3525.0,0.0050865803,0.78,0.7407535,3525.0,0.0050865803,0.44,0.7208535,3525.0,0.0050865803
10,0.80864257,0.834,0.77457476,0.815,0.99144506,0.0050865803,0.0050848164,1.0,1.0,0.0,0.0,0.99,0.91753143,3525.0,0.0050865803,0.96,0.90478796,3525.0,0.0050865803,0.84,0.9322213,3525.0,0.0050865803,0.93,0.94701296,3525.0,0.0050865803,0.81,0.8801607,3525.0,0.0050865803,0.87,0.8968598,3525.0,0.0050865803,0.95,0.86932343,3525.0,0.0050865803,0.46,0.7407535,3525.0,0.0050865803,0.34,0.7208535,3525.0,0.0050865803
11,0.80864257,0.834,0.82973164,0.851,0.99179965,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.9083394,3525.0,0.0050865803,0.95,0.9026444,3525.0,0.0050865803,0.93,0.93285704,3525.0,0.0050865803,0.94,0.94701296,3525.0,0.0050865803,0.78,0.8801607,3525.0,0.0050865803,0.87,0.8968598,3525.0,0.0050865803,0.88,0.86932343,3525.0,0.0050865803,0.75,0.7407535,3525.0,0.0050865803,0.42,0.7208535,3525.0,0.0050865803
12,0.80864257,0.834,0.80497295,0.831,0.9928413,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.9041404,3525.0,0.0050865803,0.96,0.9016106,3525.0,0.0050865803,0.88,0.93285704,3525.0,0.0050865803,0.93,0.94701296,3525.0,0.0050865803,0.78,0.8801607,3525.0,0.0050865803,0.92,0.8968598,3525.0,0.0050865803,0.82,0.86932343,3525.0,0.0050865803,0.39,0.7407535,3525.0,0.0050865803,0.64,0.7208535,3525.0,0.0050865803
13,0.80864257,0.834,0.81687087,0.836,0.9939495,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.899772,3525.0,0.0050865803,0.95,0.900714,3525.0,0.0050865803,0.94,0.933074,3525.0,0.0050865803,0.97,0.94701296,3525.0,0.0050865803,0.77,0.8801607,3525.0,0.0050865803,0.87,0.8968598,3525.0,0.0050865803,0.79,0.86932343,3525.0,0.0050865803,0.55,0.7407535,3525.0,0.0050865803,0.53,0.7208535,3525.0,0.0050865803
14,0.80864257,0.834,0.8107703,0.831,0.9934619,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.98,0.89449596,3525.0,0.0050865803,0.96,0.900714,3525.0,0.0050865803,0.91,0.933074,3525.0,0.0050865803,0.96,0.9467852,3525.0,0.0050865803,0.78,0.8801607,3525.0,0.0050865803,0.88,0.8968598,3525.0,0.0050865803,0.79,0.86932343,3525.0,0.0050865803,0.51,0.7407535,3525.0,0.0050865803,0.54,0.7208535,3525.0,0.0050865803
15,0.80864257,0.834,0.78240466,0.822,0.9937943,0.0050865803,0.0050864196,0.99,1.0,0.0,0.0,0.98,0.88537323,3525.0,0.0050865803,0.96,0.89898264,3525.0,0.0050865803,0.94,0.933074,3525.0,0.0050865803,0.94,0.9467852,3525.0,0.0050865803,0.82,0.8801607,3525.0,0.0050865803,0.92,0.8960259,3525.0,0.0050865803,0.86,0.86932343,3525.0,0.0050865803,0.35,0.7407535,3525.0,0.0050865803,0.46,0.7208535,3525.0,0.0050865803
16,0.80864257,0.834,0.77323145,0.815,0.9939495,0.0050865803,0.0050857784,0.99,1.0,0.0,0.0,0.99,0.8755419,3525.0,0.0050865803,0.93,0.89986396,3525.0,0.0050865803,0.95,0.93345284,3525.0,0.0050865803,0.96,0.94635946,3525.0,0.0050865803,0.81,0.8801607,3525.0,0.0050865803,0.86,0.8960259,3525.0,0.0050865803,0.76,0.86932343,3525.0,0.0050865803,0.28,0.7407535,3525.0,0.0050865803,0.62,0.7208535,3525.0,0.0050865803
17,0.80864257,0.834,0.80466276,0.825,0.99335104,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.8671082,3525.0,0.0050865803,0.93,0.9000436,3525.0,0.0050865803,0.95,0.9328639,3525.0,0.0050865803,0.96,0.9464324,3525.0,0.0050865803,0.75,0.8801607,3525.0,0.0050865803,0.88,0.8960259,3525.0,0.0050865803,0.69,0.86932343,3525.0,0.0050865803,0.48,0.7407535,3525.0,0.0050865803,0.62,0.7208535,3525.0,0.0050865803
18,0.80864257,0.834,0.7810641,0.811,0.99457,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.8657997,3525.0,0.0050865803,0.91,0.9000436,3525.0,0.0050865803,0.93,0.9324412,3525.0,0.0050865803,0.94,0.94654864,3525.0,0.0050865803,0.76,0.8801607,3525.0,0.0050865803,0.8,0.8960259,3525.0,0.0050865803,0.86,0.86932343,3525.0,0.0050865803,0.54,0.7407535,3525.0,0.0050865803,0.38,0.7208535,3525.0,0.0050865803
19,0.80864257,0.834,0.7955283,0.82,0.99461436,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.85954905,3525.0,0.0050865803,0.9,0.899057,3525.0,0.0050865803,0.91,0.9324412,3525.0,0.0050865803,0.93,0.94654864,3525.0,0.0050865803,0.79,0.8801607,3525.0,0.0050865803,0.87,0.8960259,3525.0,0.0050865803,0.84,0.86932343,3525.0,0.0050865803,0.44,0.7407535,3525.0,0.0050865803,0.53,0.7208535,3525.0,0.0050865803
20,0.80864257,0.834,0.7751787,0.808,0.99324024,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.98,0.8515326,3525.0,0.0050865803,0.91,0.8992429,3525.0,0.0050865803,0.95,0.9324412,3525.0,0.0050865803,0.91,0.94654864,3525.0,0.0050865803,0.77,0.87976223,3525.0,0.0050865803,0.9,0.8960259,3525.0,0.0050865803,0.8,0.86932343,3525.0,0.0050865803,0.39,0.7407535,3525.0,0.0050865803,0.47,0.7208535,3525.0,0.0050865803
21,0.80864257,0.834,0.8065975,0.829,0.9947917,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.98,0.84009355,3525.0,0.0050865803,0.93,0.8992429,3525.0,0.0050865803,0.94,0.9324412,3525.0,0.0050865803,0.92,0.94654864,3525.0,0.0050865803,0.78,0.87976223,3525.0,0.0050865803,0.88,0.8951625,3525.0,0.0050865803,0.84,0.86932343,3525.0,0.0050865803,0.45,0.7407535,3525.0,0.0050865803,0.57,0.71828157,3525.0,0.0050865803
22,0.80864257,0.834,0.7770883,0.812,0.99457,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.82990104,3525.0,0.0050865803,0.93,0.8992429,3525.0,0.0050865803,0.9,0.9324412,3525.0,0.0050865803,0.96,0.94654864,3525.0,0.0050865803,0.78,0.87976223,3525.0,0.0050865803,0.86,0.8952582,3525.0,0.0050865803,0.8,0.86932343,3525.0,0.0050865803,0.33,0.7407535,3525.0,0.0050865803,0.57,0.71828157,3525.0,0.0050865803
23,0.80864257,0.834,0.79045653,0.816,0.9930186,0.0050865803,0.0050865803,1.0,1.0,0.0,0.0,0.99,0.8113206,3525.0,0.0050865803,0.92,0.8992429,3525.0,0.0050865803,0.9,0.9324412,3525.0,0.0050865803,0.97,0.9469657,3525.0,0.0050865803,0.81,0.87976223,3525.0,0.0050865803,0.82,0.8952582,3525.0,0.0050865803,0.8,0.86932343,3525.0,0.0050865803,0.46,0.7407535,3525.0,0.0050865803,0.49,0.71828157,3525.0,0.0050865803
24,0.80864257,0.834,0.7542042,0.795,0.993063,0.0050865803,0.0050865803,0.99,1.0,0.0,0.0,0.99,0.79831773,3525.0,0.0050865803,0.93,0.8984073,3525.0,0.0050865803,0.93,0.9319311,3525.0,0.0050865803,0.94,0.9469657,3525.0,0.0050865803,0.85,0.8805572,3525.0,0.0050865803,0.79,0.8952582,3525.0,0.0050865803,0.74,0.8682341,3525.0,0.0050865803,0.32,0.7407535,3525.0,0.0050865803,0.47,0.72017014,3525.0,0.0050865803
