,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.71,0.92287236,0.0016682661,0.0011922739,0.98,0.0,0.0,1.0,1410.0,0.0017121146,0.87,1410.0,0.0017121146,0.79,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.9,1410.0,0.0017121146,0.74,1329.0,0.0016137591,0.86,1410.0,0.0017121146,0.0,1410.0,0.0017121146,0.04,1166.0,0.0014158338
1,0.80864257,0.834,0.6379969,0.753,0.9576684,0.0016835119,0.0015507522,1.0,0.0,0.0,1.0,1410.0,0.0017121146,0.81,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.71,1410.0,0.0017121146,0.9,1209.0,0.0014680472,0.79,1410.0,0.0017121146,0.09,1410.0,0.0017121146,0.34,1399.0,0.0016987576
2,0.80864257,0.834,0.6633154,0.764,0.96531475,0.0016399332,0.0016076878,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.76,1410.0,0.0017121146,0.83,1304.0,0.0015834024,0.85,1410.0,0.0017121146,0.17,1408.0,0.0017096861,0.22,983.0,0.0011936232
3,0.80864257,0.834,0.69392735,0.771,0.9694149,0.0016047196,0.0016518061,1.0,0.0,0.0,1.0,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.94,1406.0,0.0017072576,0.79,1410.0,0.0017121146,0.76,1237.0,0.0015020466,0.81,1410.0,0.0017121146,0.18,1409.0,0.0017109003,0.36,792.0,0.0009616984
4,0.80864257,0.834,0.83123094,0.846,0.9745124,0.0015744978,0.0016930911,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.88,1410.0,0.0017121146,0.91,1404.0,0.001704829,0.88,1410.0,0.0017121146,0.87,1123.0,0.0013636204,0.82,1410.0,0.0017121146,0.51,1410.0,0.0017121146,0.66,683.0,0.00082934345
5,0.80864257,0.834,0.7915849,0.821,0.97772604,0.0015695059,0.0016967339,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.89,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.92,1379.0,0.0016744724,0.82,1410.0,0.0017121146,0.86,1143.0,0.0013879057,0.82,1410.0,0.0017121146,0.35,1410.0,0.0017121146,0.64,651.0,0.000790487
6,0.80864257,0.834,0.75263333,0.799,0.9797208,0.0015382047,0.0017100908,0.99,0.0,0.0,0.99,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.92,1410.0,0.0017121146,0.92,1281.0,0.0015554744,0.83,1410.0,0.0017121146,0.88,939.0,0.0011401955,0.8,1410.0,0.0017121146,0.32,1410.0,0.0017121146,0.4,721.0,0.00087548554
7,0.80864257,0.834,0.7895334,0.816,0.98160464,0.0015038006,0.0017034798,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.81,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.92,1155.0,0.0014024768,0.84,1410.0,0.0017121146,0.87,1063.0,0.0012907644,0.85,1410.0,0.0017121146,0.46,1410.0,0.0017121146,0.47,468.0,0.00056827633
8,0.80864257,0.834,0.77459806,0.81,0.98537236,0.001503126,0.0017025354,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.91,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.91,1284.0,0.0015591171,0.86,1410.0,0.0017121146,0.83,1052.0,0.0012774075,0.85,1410.0,0.0017121146,0.41,1410.0,0.0017121146,0.41,345.0,0.00041892167
9,0.80864257,0.834,0.7771231,0.81,0.9857048,0.001435262,0.0017005117,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.9,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.92,1339.0,0.0016259018,0.7,1410.0,0.0017121146,0.83,743.0,0.0009021994,0.89,1410.0,0.0017121146,0.57,1410.0,0.0017121146,0.35,96.0,0.00011656951
10,0.80864257,0.834,0.70810646,0.792,0.98703456,0.0013621362,0.0016657027,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.91,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.92,1240.0,0.0015056895,0.82,1410.0,0.0017121146,0.82,345.0,0.00041892167,0.91,1410.0,0.0017121146,0.48,1410.0,0.0017121146,0.14,51.0,6.192755e-05
11,0.80864257,0.834,0.8191612,0.839,0.9889184,0.0013292162,0.0016793294,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.87,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.92,938.0,0.0011389812,0.84,1410.0,0.0017121146,0.86,322.0,0.00039099355,0.84,1410.0,0.0017121146,0.7,1410.0,0.0017121146,0.43,132.0,0.00016028307
12,0.80864257,0.834,0.7730522,0.805,0.9904699,0.001250154,0.0016276557,1.0,0.0,0.0,0.99,1410.0,0.0017121146,0.93,1410.0,0.0017121146,0.9,1410.0,0.0017121146,0.9,433.0,0.00052577705,0.85,1410.0,0.0017121146,0.82,288.0,0.0003497085,0.8,1410.0,0.0017121146,0.39,1410.0,0.0017121146,0.47,85.0,0.00010321258
13,0.80864257,0.834,0.7764762,0.805,0.9893617,0.0011598936,0.0014507776,1.0,0.0,0.0,0.99,1219.0,0.0014801899,0.83,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.93,127.0,0.00015421174,0.82,1410.0,0.0017121146,0.85,160.0,0.0001942825,0.78,1410.0,0.0017121146,0.51,1410.0,0.0017121146,0.4,41.0,4.9784892e-05
14,0.80864257,0.834,0.8205264,0.835,0.989805,0.0011024183,0.0013539062,1.0,0.0,0.0,0.99,865.0,0.0010503398,0.88,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.92,89.0,0.000108069646,0.79,1410.0,0.0017121146,0.82,137.0,0.0001663544,0.79,1409.0,0.0017109003,0.5,1409.0,0.0017109003,0.71,32.0,3.8856502e-05
15,0.80864257,0.834,0.80438197,0.828,0.99235374,0.0010595142,0.0013339383,1.0,0.0,0.0,0.98,686.0,0.00083298626,0.89,1410.0,0.0017121146,0.94,1410.0,0.0017121146,0.92,105.0,0.0001274979,0.86,1410.0,0.0017121146,0.86,134.0,0.0001627116,0.84,1308.0,0.0015882595,0.44,1371.0,0.0016647582,0.55,19.0,2.3071048e-05
16,0.80864257,0.834,0.80103946,0.823,0.99324024,0.0010205228,0.0013100577,1.0,0.0,0.0,0.99,492.0,0.0005974187,0.85,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.93,123.0,0.00014935467,0.85,1410.0,0.0017121146,0.84,115.0,0.00013964056,0.82,1168.0,0.0014182624,0.49,1387.0,0.0016841865,0.51,49.0,5.949902e-05
17,0.80864257,0.834,0.7948895,0.816,0.9934619,0.0009796426,0.001306415,1.0,0.0,0.0,0.99,192.0,0.00023313901,0.86,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.91,93.0,0.00011292671,0.78,1410.0,0.0017121146,0.87,166.0,0.00020156811,0.78,1137.0,0.0013806201,0.47,1326.0,0.0016101163,0.55,117.0,0.00014206908
18,0.80864257,0.834,0.74563015,0.788,0.99401593,0.0009571112,0.0013072245,1.0,0.0,0.0,0.99,117.0,0.00014206908,0.84,1410.0,0.0017121146,0.95,1410.0,0.0017121146,0.92,64.0,7.7713004e-05,0.79,1410.0,0.0017121146,0.83,117.0,0.00014206908,0.81,1319.0,0.0016016164,0.43,1155.0,0.0014024768,0.32,92.0,0.00011171244
19,0.80864257,0.834,0.7823655,0.817,0.9946808,0.0007962884,0.0011910597,1.0,0.0,0.0,0.99,45.0,5.4641954e-05,0.91,1410.0,0.0017121146,0.94,1057.0,0.0012834788,0.92,27.0,3.2785174e-05,0.89,1410.0,0.0017121146,0.78,37.0,4.492783e-05,0.83,1385.0,0.001681758,0.33,451.0,0.0005476338,0.58,80.0,9.714125e-05
