,pre_g_mean,pre_acsa,o_g_mean,o_acsa,acc_in_training,pass_pre_train_classifier,pass_o_classifier,acc_in_cls0,threshold_in_cls0,valid_sample_in_cls0,valid_ratio_in_cls0,acc_in_cls1,threshold_in_cls1,valid_sample_in_cls1,valid_ratio_in_cls1,acc_in_cls2,threshold_in_cls2,valid_sample_in_cls2,valid_ratio_in_cls2,acc_in_cls3,threshold_in_cls3,valid_sample_in_cls3,valid_ratio_in_cls3,acc_in_cls4,threshold_in_cls4,valid_sample_in_cls4,valid_ratio_in_cls4,acc_in_cls5,threshold_in_cls5,valid_sample_in_cls5,valid_ratio_in_cls5,acc_in_cls6,threshold_in_cls6,valid_sample_in_cls6,valid_ratio_in_cls6,acc_in_cls7,threshold_in_cls7,valid_sample_in_cls7,valid_ratio_in_cls7,acc_in_cls8,threshold_in_cls8,valid_sample_in_cls8,valid_ratio_in_cls8,acc_in_cls9,threshold_in_cls9,valid_sample_in_cls9,valid_ratio_in_cls9
1,0.80864257,0.834,0.0,0.739,0.916578,0.0050865803,0.0033957032,0.99,1.0,0.0,0.0,1.0,0.9774898,3525.0,0.0050865803,0.93,0.9448034,3525.0,0.0050865803,0.92,0.9374072,3525.0,0.0050865803,0.93,0.93530697,3525.0,0.0050865803,0.9,0.8827789,3525.0,0.0050865803,0.85,0.9085263,3525.0,0.0050865803,0.87,0.88515955,3525.0,0.0050865803,0.0,0.72719246,3525.0,0.0050865803,0.0,0.7427931,3525.0,0.0050865803
1,0.80864257,0.834,0.0,0.744,0.96054965,0.0050865803,0.0044189515,1.0,1.0,0.0,0.0,1.0,0.9742859,3525.0,0.0050865803,0.85,0.9393765,3525.0,0.0050865803,0.95,0.93616,3525.0,0.0050865803,0.96,0.9347191,3525.0,0.0050865803,0.74,0.8822396,3525.0,0.0050865803,0.87,0.90762645,3525.0,0.0050865803,0.84,0.8852493,3525.0,0.0050865803,0.23,0.7241093,3525.0,0.0050865803,0.0,0.7383274,3525.0,0.0050865803
2,0.80864257,0.834,0.0,0.736,0.96764183,0.0050865803,0.004472663,1.0,1.0,0.0,0.0,1.0,0.9698539,3525.0,0.0050865803,0.86,0.93644774,3525.0,0.0050865803,0.98,0.93425626,3525.0,0.0050865803,0.97,0.93244207,3525.0,0.0050865803,0.76,0.88083816,3525.0,0.0050865803,0.84,0.905683,3525.0,0.0050865803,0.82,0.884418,3525.0,0.0050865803,0.13,0.7241093,3525.0,0.0050865803,0.0,0.7383274,3525.0,0.0050865803
3,0.80864257,0.834,0.0,0.764,0.97533244,0.0050865803,0.004502004,1.0,1.0,0.0,0.0,1.0,0.9649583,3525.0,0.0050865803,0.9,0.93375355,3525.0,0.0050865803,0.97,0.9333539,3525.0,0.0050865803,0.96,0.9312748,3525.0,0.0050865803,0.83,0.8814842,3525.0,0.0050865803,0.83,0.9041787,3525.0,0.0050865803,0.82,0.884418,3525.0,0.0050865803,0.33,0.7239791,3525.0,0.0050865803,0.0,0.7383274,3525.0,0.0050865803
4,0.80864257,0.834,0.7651383,0.815,0.9792775,0.0050865803,0.004549944,0.99,1.0,0.0,0.0,1.0,0.9583271,3525.0,0.0050865803,0.91,0.9322002,3525.0,0.0050865803,0.92,0.93326634,3525.0,0.0050865803,0.95,0.9310553,3525.0,0.0050865803,0.92,0.8814842,3525.0,0.0050865803,0.88,0.90445596,3525.0,0.0050865803,0.87,0.88358754,3525.0,0.0050865803,0.31,0.7239791,3525.0,0.0050865803,0.4,0.7383274,3525.0,0.0050865803
5,0.80864257,0.834,0.8125703,0.838,0.98269063,0.0050865803,0.0048949816,1.0,1.0,0.0,0.0,0.99,0.9509613,3525.0,0.0050865803,0.92,0.92984116,3525.0,0.0050865803,0.94,0.9322974,3525.0,0.0050865803,0.9,0.92948014,3525.0,0.0050865803,0.86,0.8805844,3525.0,0.0050865803,0.92,0.90283453,3525.0,0.0050865803,0.83,0.8826715,3525.0,0.0050865803,0.4,0.7254363,3525.0,0.0050865803,0.62,0.738773,3525.0,0.0050865803
6,0.80864257,0.834,0.6395368,0.765,0.9817597,0.0050865803,0.0049233604,1.0,1.0,0.0,0.0,0.99,0.94191104,3525.0,0.0050865803,0.92,0.9287188,3525.0,0.0050865803,0.97,0.93032736,3525.0,0.0050865803,0.94,0.92948014,3525.0,0.0050865803,0.74,0.88020474,3525.0,0.0050865803,0.85,0.90283453,3525.0,0.0050865803,0.83,0.8816476,3525.0,0.0050865803,0.33,0.7254363,3525.0,0.0050865803,0.08,0.73805076,3525.0,0.0050865803
7,0.80864257,0.834,0.8066781,0.829,0.9856826,0.0050865803,0.0049873334,1.0,1.0,0.0,0.0,1.0,0.9345003,3525.0,0.0050865803,0.82,0.9263316,3525.0,0.0050865803,0.95,0.93008,3525.0,0.0050865803,0.94,0.9289267,3525.0,0.0050865803,0.76,0.8806292,3525.0,0.0050865803,0.8,0.90283453,3525.0,0.0050865803,0.84,0.8816476,3525.0,0.0050865803,0.78,0.725014,3525.0,0.0050865803,0.4,0.73805076,3525.0,0.0050865803
8,0.80864257,0.834,0.7614168,0.807,0.98636967,0.0050865803,0.005059003,1.0,1.0,0.0,0.0,0.99,0.9260417,3525.0,0.0050865803,0.94,0.92452246,3525.0,0.0050865803,0.95,0.93008,3525.0,0.0050865803,0.92,0.9289146,3525.0,0.0050865803,0.83,0.8806292,3525.0,0.0050865803,0.82,0.9019262,3525.0,0.0050865803,0.85,0.88077486,3525.0,0.0050865803,0.48,0.725014,3525.0,0.0050865803,0.29,0.73805076,3525.0,0.0050865803
9,0.80864257,0.834,0.80851865,0.837,0.98781025,0.0050865803,0.005065416,1.0,1.0,0.0,0.0,0.98,0.91551334,3525.0,0.0050865803,0.93,0.9228095,3525.0,0.0050865803,0.96,0.92842543,3525.0,0.0050865803,0.96,0.9287768,3525.0,0.0050865803,0.77,0.8809165,3525.0,0.0050865803,0.83,0.9019262,3525.0,0.0050865803,0.87,0.88077486,3525.0,0.0050865803,0.71,0.725014,3525.0,0.0050865803,0.36,0.73805076,3525.0,0.0050865803
