,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
1,-188.03107,0.33580583,0.27867496,0.062962264,0.056137547
2,-169.08783,0.5242696,0.49947178,0.062798,0.055776913
3,-151.44328,0.5612633,0.5415016,0.062486045,0.055247262
4,-137.45891,0.61983305,0.61339015,0.062310167,0.055448562
5,-127.51877,0.6382761,0.6302257,0.062071286,0.055036403
6,-121.77711,0.7030205,0.71687895,0.06175089,0.055268664
7,-117.091644,0.71574354,0.7293052,0.063259654,0.05814005
8,-112.89565,0.7114184,0.72356397,0.062345948,0.055383492
9,-109.80084,0.7630197,0.7767457,0.063232325,0.05510699
10,-107.29641,0.7686073,0.782516,0.06123335,0.052910723
11,-105.04077,0.7856029,0.80078423,0.06224598,0.054879416
12,-103.77787,0.77444214,0.7904058,0.061441995,0.05485093
13,-102.69287,0.770995,0.7876419,0.06354944,0.056985125
14,-101.32602,0.8159567,0.8280092,0.062346254,0.054298308
15,-100.709274,0.7866389,0.8037748,0.06316197,0.05563854
16,-99.885025,0.8285884,0.83845454,0.060921203,0.053593796
17,-98.9487,0.8143264,0.8267784,0.06375561,0.05730916
18,-98.42833,0.8248217,0.8367721,0.061118197,0.05439255
19,-97.55448,0.837017,0.84924316,0.062243924,0.054730877
20,-97.47057,0.8190338,0.8343661,0.0629642,0.05459129
21,-96.81421,0.8430677,0.85332406,0.06274267,0.0569825
22,-96.6975,0.85152113,0.86173207,0.06327485,0.05508419
23,-96.86697,0.8335545,0.84701097,0.063840784,0.057289775
24,-95.94879,0.82138425,0.8339281,0.06252073,0.054887284
25,-95.895775,0.8169564,0.82863563,0.06196893,0.054698043
26,-95.43095,0.8384139,0.85138,0.06158321,0.054870512
27,-95.02261,0.8505416,0.8628304,0.06365242,0.056303505
28,-94.95912,0.8621802,0.87173235,0.06234905,0.05445255
29,-95.054146,0.8485713,0.8609936,0.06184187,0.055884354
30,-94.709785,0.830544,0.8441359,0.061846524,0.055231284
31,-93.71485,0.8484539,0.8594367,0.06285386,0.055352185
32,-94.17583,0.85409975,0.86335933,0.06258815,0.055824157
33,-94.51198,0.843618,0.85353434,0.06317472,0.05541605
34,-93.388985,0.84520507,0.856708,0.062127944,0.056094844
35,-93.95332,0.8554825,0.8660496,0.06198632,0.054650735
36,-93.43033,0.8536969,0.8630822,0.06310449,0.056139473
37,-93.19039,0.8507617,0.86189663,0.06384641,0.05588703
38,-93.158195,0.8547129,0.86573833,0.06338846,0.05640466
39,-93.11893,0.83588904,0.8476161,0.062314495,0.054320753
40,-92.42457,0.8426468,0.85436887,0.061701886,0.055116963
41,-91.99031,0.8417765,0.85237086,0.06225865,0.055892482
42,-92.224045,0.8124302,0.8317012,0.062271837,0.056828715
43,-91.7257,0.86626035,0.87565696,0.063381545,0.055345755
44,-92.02154,0.8396148,0.85005164,0.06314016,0.05584949
45,-91.68386,0.8542063,0.8644383,0.061472792,0.054476276
46,-91.737976,0.84533817,0.85646284,0.062457077,0.055868123
47,-91.43923,0.8438388,0.85600734,0.060999878,0.05328186
48,-91.68089,0.8539795,0.8625892,0.061712123,0.05570448
49,-91.26309,0.8469602,0.85721374,0.06315731,0.05517025
50,-91.31298,0.84530085,0.85566473,0.062455755,0.0543711
51,-91.10445,0.8620093,0.8725187,0.06304196,0.05715973
52,-91.29965,0.85691565,0.8670512,0.06336583,0.056602333
53,-91.09725,0.83851206,0.8493835,0.06108315,0.05310604
54,-90.917366,0.8642494,0.8716256,0.06331995,0.05514622
55,-91.12543,0.84886104,0.860085,0.06265199,0.054984502
56,-90.60374,0.85798794,0.86689365,0.0635339,0.057576425
57,-90.4103,0.86294925,0.87276334,0.061085176,0.0538258
58,-90.65579,0.8596337,0.8687785,0.061429363,0.054497223
59,-90.77055,0.86001325,0.86880857,0.062588185,0.052798025
60,-90.815956,0.85783505,0.86991066,0.06171168,0.054945454
