,elbo,pre_g_mean,pre_acsa,o_g_mean,o_acsa
1,-187.98517,0.5137961,0.69703126,0.7463192,0.7975145
2,-169.32738,0.6705414,0.76719135,0.84235966,0.8352816
3,-149.1618,0.73471826,0.7786112,0.87774134,0.8594937
4,-138.1539,0.78522366,0.80601645,0.8740874,0.8548863
5,-130.29343,0.82421845,0.8209795,0.9108058,0.8839438
6,-125.04122,0.8436059,0.838964,0.8618317,0.857464
7,-121.02522,0.8398846,0.8383277,0.91037905,0.8872931
8,-115.66732,0.8475882,0.839369,0.835488,0.8310507
9,-113.79939,0.87730235,0.855341,0.9031128,0.8824535
10,-111.484215,0.87723434,0.86564595,0.89707667,0.87384474
11,-109.34546,0.89419866,0.8756763,0.8657631,0.8532462
12,-107.59356,0.88997006,0.8689816,0.89229536,0.8698945
13,-105.99865,0.8800118,0.8653141,0.8912392,0.86988854
14,-104.48221,0.9047712,0.885614,0.8919,0.8682983
15,-103.48852,0.90593505,0.8856896,0.8800739,0.86406964
16,-101.78386,0.900859,0.8824363,0.9001144,0.8761014
17,-101.82778,0.90319765,0.8858741,0.89004946,0.87803155
18,-100.9002,0.91336614,0.89094394,0.89744633,0.8755227
19,-100.4061,0.90664107,0.89245605,0.8922587,0.8672869
20,-99.09189,0.9069002,0.8890065,0.89201796,0.86670256
21,-99.03083,0.8986197,0.8786478,0.8658179,0.84515446
22,-99.27152,0.922883,0.90008056,0.8937537,0.8708337
23,-98.42767,0.9207705,0.8993234,0.8908466,0.86906517
24,-97.746216,0.89825934,0.88716793,0.9090084,0.88745683
25,-97.22117,0.9190608,0.8991336,0.8934794,0.8690575
26,-96.94228,0.9127139,0.8914839,0.89708906,0.8748859
27,-96.547005,0.8930546,0.8788207,0.8942974,0.8723023
28,-96.5178,0.90936416,0.8938741,0.8874877,0.8680271
29,-95.94307,0.91694343,0.8982334,0.810634,0.83985484
30,-96.10994,0.91469604,0.89324045,0.8889628,0.8659284
31,-95.25391,0.9182977,0.8976077,0.89522827,0.8700808
32,-94.97969,0.9167224,0.89996326,0.8846461,0.86646277
33,-95.4282,0.9180117,0.8955782,0.8965538,0.8730577
34,-94.51444,0.92375517,0.9029751,0.89618814,0.8738219
35,-94.974205,0.9194969,0.89804,0.91464907,0.8876082
36,-94.15894,0.9173587,0.89862955,0.8707516,0.8542032
37,-94.165855,0.91985774,0.9002032,0.9058478,0.87725246
38,-94.03994,0.91468984,0.89315856,0.90860695,0.881396
39,-93.959,0.91836107,0.89739746,0.89503115,0.8715247
40,-94.279076,0.9262827,0.9058569,0.86508733,0.8595087
41,-93.1699,0.9277,0.9062538,0.89049715,0.8692992
42,-93.248665,0.9248107,0.90182555,0.90361196,0.8769416
43,-92.91215,0.9251025,0.902771,0.9059532,0.87717855
44,-93.16025,0.918553,0.8964002,0.9139058,0.8884877
45,-92.88966,0.91348255,0.89848274,0.8974944,0.8719614
46,-92.5682,0.9361036,0.91291696,0.8882489,0.86549246
47,-92.60535,0.8984269,0.8821477,0.9061781,0.87964314
48,-92.36726,0.91002804,0.8917058,0.88285005,0.87018204
49,-92.22845,0.9078486,0.89437747,0.8686557,0.8631036
50,-91.9697,0.9270377,0.9045386,0.89564204,0.86838657
51,-92.30019,0.92038316,0.89824414,0.8811727,0.85644704
52,-92.375,0.91253173,0.8946467,0.8872061,0.86708033
53,-91.855415,0.92224216,0.8996945,0.8761626,0.8491052
54,-91.58093,0.92278,0.9061819,0.9028379,0.87706876
55,-91.66173,0.9352475,0.9140554,0.89688003,0.86683434
56,-91.137634,0.9209109,0.9055679,0.8746267,0.8613787
57,-91.494385,0.9144716,0.8953837,0.89558583,0.8664224
58,-91.341064,0.9223562,0.90020955,0.873888,0.8636018
59,-92.18333,0.92745405,0.9033242,0.9176932,0.88610935
60,-90.94994,0.9301577,0.9067518,0.90031993,0.87233686
61,-90.90195,0.928654,0.9063279,0.8655097,0.8487179
62,-90.49118,0.9331825,0.9086909,0.9017463,0.87722504
